"","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"B-2-10",11593.435,0,11593.435,0,11593.435,1016.35,2673.475,5080.88,7085.98,13472.1,4797.3,29809.4,32717.8,30874.5
"B-2-11",10515.0286363636,0,10515.0286363636,0,10515.0286363636,239.122,934.003,3658.23,4388.6,10360.6,5614.61,22742.4,30610.3,37117.45
"B-2-12",9004.6585,0,9004.6585,0,9004.6585,228.655,809.0985,1689.13,1249.88,4290.81,6272.62,19139.9,27691.6,37679.55
"B-2-1",4855.79518181818,0,4855.79518181818,0,4855.79518181818,0,0,84.238,320.699,1714.8,2480.42,9150.64,17348.9,22314.05
"B-2-2",11724.2277272727,0,11724.2277272727,0,11724.2277272727,864.88,1972.995,4143.13,5481.44,9927.96,12534.7,25586.1,29843,38612.3
"B-2-3",7243.8765,0,7243.8765,58.048,7243.8765,388.483,929.0505,2289.58,4197.08,8479.53,8021.67,13894.2,19026,22399
"B-2-4",13018.865,0,13018.865,0,13018.865,494.55,2254.515,5469.82,5833.93,11067.5,13256.6,26427.9,34855.2,43547.5
"B-2-5",14202.8555,168.1735,14202.8555,178.287,14202.8555,1494.29,4241.44,6692.23,5690.94,10451.6,6719.35,23187,44883.2,52524.9
"B-2-6",7066.01663636364,0,7066.01663636364,0,7066.01663636364,0,223.097,849.216,1878.12,4906,7547,15578.2,20903.7,25840.85
"B-2-8",9867.41890909091,0,9867.41890909091,0,9867.41890909091,74.647,705.371,1883.38,3147.4,9043.3,7407.01,18942.4,28287.4,39050.7
"B-2-9",12416.3201818182,0,12416.3201818182,0,12416.3201818182,340.813,961.219,2197.19,4892.92,10271.9,9537.23,26821.6,36195,45361.65
"B-2-22",4615.88,0,4615.88,0,4615.88,789.56,1145.07,2316.85,2565.01,5481.35,5327.43,8277.11,10530.4,14341.9
"B-2-23",7224.96818181818,0,7224.96818181818,0,7224.96818181818,180.677,757.793,3098.39,3044.9,9169.63,6507.11,10821.4,20353.9,25540.85
"B-2-24",4560.66609090909,0,4560.66609090909,0,4560.66609090909,84.472,1107.115,2245.69,2249.41,3586.84,4117.83,9379.47,11535.2,15861.3
"B-2-13",9107.00127272727,0,9107.00127272727,0,9107.00127272727,473.719,1421.945,2199.15,4462.8,9247.13,6474.77,19476.4,25677.6,30743.5
"B-2-14",8635.52963636364,0,8635.52963636364,0,8635.52963636364,905.521,1387.105,3114.81,3538.37,8520.75,6939.22,15020.4,24039.5,31525.15
"B-2-15",10132.1615909091,0,10132.1615909091,0,10132.1615909091,111.021,842.6465,2855.34,4361.84,9459.58,11109.4,19191,28029,35493.95
"B-2-16",6915.96313636364,0,6915.96313636364,0,6915.96313636364,98.847,418.1875,1770.25,2870.48,7630.68,5558.55,14441.9,18945.8,24340.9
"B-2-17",5576.15609090909,0,5576.15609090909,0,5576.15609090909,625.797,1185.8,2249.55,2358.03,4333.38,3849.56,10616.6,15673.8,20445.2
"B-2-18",6997.70745454546,0,6997.70745454546,0,6997.70745454546,258.897,1068.345,2368.73,2982.01,6846.94,4622.76,12326.4,19226.9,27273.8
"B-2-20",6108.86909090909,0,6108.86909090909,0,6108.86909090909,0,240.35,1732.15,1929.86,5787.4,6477.7,13734.5,17470.3,19825.3
"B-2-21",10670.0302727273,0,10670.0302727273,232.876,10670.0302727273,746.392,2974.585,5358.71,8329.52,12574.8,12605.4,23718.3,24272.4,26557.35
"B-2-35",7690.59627272727,0,7690.59627272727,0,7690.59627272727,358.244,1787.19,4474.77,3812.51,8374.295,6291.85,16248.8,20279.9,22969
"B-2-36",11812.9771363636,0,11812.9771363636,0,11812.9771363636,163.847,940.9015,3351.69,7204.32,12066.35,5837.19,26411.9,32662.8,41303.75
"B-2-25",1334.271,0,1334.271,0,1334.271,0,0,23.2075,0,192.2175,113.411,2694.26,4449.3,7204.585
"B-2-26",19449.86,0,19449.86,0,19449.86,1931.64,3856.52,7516.15,11433.2,21636.5,21212.5,41354,46900.2,58107.75
"B-2-27",9915.11945454545,0,9915.11945454545,0,9915.11945454545,0,90.514,1355.515,2842.31,8067.325,10092.4,20420.6,27802.9,38394.75
"B-2-28",7774.88868181818,0,7774.88868181818,0,7774.88868181818,65.718,929.0225,2699.935,2805.57,5715.83,7055.45,20465.7,19287.2,26499.35
"B-2-29",16946.7309090909,0,16946.7309090909,58.93,16946.7309090909,1863.49,4345.09,7851.08,12241.4,19828.75,12171.3,34380.2,41449.6,52224.2
"B-2-30",16357.045,0,16357.045,0,16357.045,1715.76,4617.305,8905.88,14909.7,21295.6,14884.8,27436.4,41185,44977.05
"B-2-31",10828.1805454545,0,10828.1805454545,62.961,10828.1805454545,2545.06,3803.175,6241.74,7524.15,11944.85,15692.3,21440.1,23824.4,26031.25
"B-2-32",9122.39427272727,0,9122.39427272727,70.586,9122.39427272727,940.346,1968.6,4870.345,3146.58,8269.03,10340.6,19188.5,23777.8,27773.95
"B-2-33",16600.3640909091,0,16600.3640909091,0,16600.3640909091,1985.46,2867.025,5077.82,6995.05,12265.25,13631.7,34032.6,46665.4,59083.7
"B-2-46",10033.5287272727,0,10033.5287272727,101.31,10033.5287272727,987.216,1808.465,2559.91,3890.27,10110.565,9659.13,19777.1,27830.4,33644.45
"B-2-47",18983.5906363636,0,18983.5906363636,72.682,18983.5906363636,2733.88,4953.185,8571.7,11175.2,20820.6,20787.3,38702.9,47814.7,53187.35
"B-2-48",19881.281,0,19881.281,647.941,19881.281,5251.84,9623.01,13444.2,12451.2,18585.5,21731.1,36955.4,42018.5,57985.4
"B-2-37",8733.81813636364,0,8733.81813636364,0,8733.81813636364,106.931,240.7235,1282.7,3102.91,7822.755,4870.38,20157,26064.6,32424
"B-2-38",3654.079,0,3654.079,0,3654.079,0,0,0,521.194,2114.645,1805.74,8319.34,12438.3,14995.65
"B-2-39",4372.922,0,4372.922,0,4372.922,0,56.443,321.553,495.376,2325.2,1843.92,8880.7,13457.4,20721.55
"B-2-41",8906.28245454546,0,8906.28245454546,0,8906.28245454546,171.287,1449.79,3539.83,4253.15,8748.41,8628.89,17375.1,24790.7,29011.95
"B-2-42",13154.8191818182,0,13154.8191818182,0,13154.8191818182,958.001,2926.34,6276.99,7690.78,14125.75,13814.3,27758.8,32642.3,38509.75
"B-2-43",15095.3193636364,0,15095.3193636364,182.798,15095.3193636364,2579.97,5782.625,7732.12,12038.9,15880.5,15721.2,30866.2,36053.5,39210.7
"B-2-44",2533.16972727273,0,2533.16972727273,0,2533.16972727273,0,261.751,214.543,675.598,1724.875,1131.31,5357.67,8287.82,10211.3
"B-2-45",3130.37,0,3130.37,0,3130.37,167.38,413.971,750.324,813.44,2649.885,1841.46,6960.19,8836.32,12001.1
"B-2-58",15938.6244545455,0,15938.6244545455,63.744,15938.6244545455,2800.73,5854.42,9427.225,11403.9,17801.9,19608.8,33056.15,36766.7,38541.3
"B-2-59",7770.67390909091,0,7770.67390909091,0,7770.67390909091,0,47.267,554.256,1377.16,3410.1,4018.38,18388.35,24913.6,32768.3
"B-2-60",9740.83831818182,0,9740.83831818182,0,9740.83831818182,407.3715,1730.085,3367.375,3763.56,7756.18,11262.5,17734.9,27492.8,33634.45
"B-2-50",4941.94122727273,0,4941.94122727273,0,4941.94122727273,106.439,407.869,604.6755,1569.9,3813.55,5514.24,10061.78,13397.4,18885.5
"B-2-51",11741.1685454545,0,11741.1685454545,83.299,11741.1685454545,1424.705,3324.42,5021.56,7044.47,12992.5,10925.7,23189.6,30643.6,34503
"B-2-52",13406.7636363636,0,13406.7636363636,0,13406.7636363636,1525.285,2245.805,3959.78,4303.08,12110.6,13387,26712.3,36918.5,46312.05
"B-2-53",22080.0868181818,0,22080.0868181818,0,22080.0868181818,2584.71,3807.885,7763.21,12553.1,24073.9,21272.1,48937,57119.5,64769.55
"B-2-54",14477.2816363636,0,14477.2816363636,163.648,14477.2816363636,1713.225,2974.23,6499.445,7802.4,14504.1,12135.7,28169.1,35123.8,50164.45
"B-2-55",8643.07627272727,0,8643.07627272727,200.334,8643.07627272727,1081.19,2577.855,4988.97,6506.29,9192,10840.1,14486.7,20494.2,24706.2
"B-2-56",16156.4050454545,0,16156.4050454545,0,16156.4050454545,887.7855,2264.345,3864.055,5730.07,14072.3,12195.9,33043.9,47913.6,57748.5
"B-2-57",11266.2349545455,0,11266.2349545455,0,11266.2349545455,482.3695,1717.595,3869.16,4271.91,10355.7,11489.5,21745.8,30277.3,39719.25
"B-2-70",7224.424,0,7224.424,0,7224.424,503.255,1120.085,2292.51,3764.79,7323.4,7224.424,13058.3,19961.3,24220.6
"B-2-71",3561.2168,0,3561.2168,0,3561.2168,0,0,0,149.848,1510.88,3561.2168,7910.08,9915.51,16125.85
"B-2-72",13867.6191,0,13867.6191,56.016,13867.6191,843.08,2853.285,5790.76,6808.25,13710,13867.6191,30286.9,36223.5,42104.4
"B-2-61",4381.0302,0,4381.0302,0,4381.0302,127.741,241.691,1000.51,1368.93,4000.98,4381.0302,8746.3,12232.4,16091.75
"B-2-62",8960.734,0,8960.734,0,8960.734,1191.68,3931.46,6326.12,5252.15,8626.43,8960.734,15240.7,21682.5,27356.3
"B-2-63",9351.4105,0,9351.4105,0,9351.4105,1993.31,3313.805,5501.67,6072.52,9493.35,9351.4105,17960.9,22772.1,26406.45
