"","unit","old_unit","Genotype","G..Alias","Replicates"
"222","B-1002:7:1","B-2-19",30,"IP 9532",2
"207","B-1003:10:1","B-2-34",16,"IP 12116",2
"173","B-1006:8:1","B-2-68",27,"IP 9651",4
"168","B-1007:1:1","B-2-73",35,"IP 18389",4
"166","B-1007:3:1","B-2-75",19,"IP 21169",4
"163","B-1007:6:1","B-2-78",40,"PT 732B-P2",4
"139","B-1009:6:1","B-2-102",16,"IP 12116",6
"93","B-3:4:1","B-1-28",4,"IP 8767",1
"41","B-7:8:1","B-1-80",5,"IP 5695",3
"30","B-8:7:1","B-1-91",23,"IP 13459",5
"13","B-9:12:1","B-1-108",22,"IP 10339",5
