"","unit","old_unit","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.121092090136109,0.00421826199703172,0.00301783386915569,-3.77498066413544e-05,0.000963074067079283,-5.03454896290115,2.22839447724441,1.03920150788725,0.0207860710121026,0.466345397324941,1.7070331572471,0.0232963087957871,0.766037241017572,0.521361319997308,0.890467225466295
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.132274824430678,0.00627765536610694,0.00167783547675988,4.72012265638541e-05,0.00115339580879777,-3.98087797390758,2.06415428698645,1.00090709558232,0.0237617900659659,0.484899361395891,1.58976453045514,0.0296504345254294,0.770177181268801,0.474389756531313,0.794916595518729
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.123235718589906,0.00872637390360669,0.00428840727961867,-6.07998317063393e-06,0.000771912954357589,-4.01846257560613,2.07166486027108,1.06400107895335,0.033413841853729,0.513597107021511,1.61466562139227,0.0298533550988404,0.779404841177346,0.456999238878809,0.794756669556758
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.198794911126704,0.0177052221710783,0.00273365327175432,0.000195570494248453,5.5413708777841e-19,-2.85561767066532,1.92425279391994,1.00967293530475,0.0475575173020605,0.524709091495157,1.4669751405225,0.0475248739131637,0.762360925320053,0.457277653397437,0.660731489442653
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.1616592242251,0.0161232165755014,0.00235809479714904,-3.3120078366224e-05,0.00138087238554567,-3.76448745674403,2.09520241291595,0.924343644645239,0.0263546275048785,0.441171525456009,1.46243817623021,0.0247225903309258,0.69799374380965,0.632764236685733,0.797461370539397
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.1292877739442,0.00245518387781717,0.0027958061605764,-0.00015767023777307,0.00132088918890833,-2.98100959556702,2.1083057249831,0.902833520701366,0.0253673822612697,0.428227040321015,1.4834787378735,0.0280283333364648,0.703635492848359,0.6248269871096,0.801765991993136
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.120016758969483,0.0055282959257909,0.00339868323859042,-3.63050699198696e-05,0.000932216050216938,-4.62038032708707,2.10572272551249,1.00776227813897,0.0230364098014683,0.478582610107747,1.59050899815799,0.0252124135215685,0.755326890329727,0.515213727354504,0.834809976165255
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.131553955489936,0.00114577008516508,0.00151444520218741,-5.9380126985141e-05,0.000916008902518965,-4.64652193211381,1.93117067583044,1.03137442487389,0.0187659702206402,0.534066945911126,1.55989894594022,0.026046882699781,0.807747842002331,0.37127172989022,0.895230092261121
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.182298505665214,0.0143516156702798,0.00229338889587155,0.000136871289627411,0.000800165217784721,-2.84733965951783,3.9884819761149,1.31245450511955,0.0291882146691729,0.329061159854603,2.35616670800001,0.0314588223497984,0.59074272420183,1.63231526811488,0.773270581521597
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.125300275736852,0.00296763810955702,0.00345339232164305,3.38313656488233e-05,0.000862885024329612,-4.31371129158382,2.28218289988402,1.28935418860458,0.0360623213804751,0.564965318366948,1.85368722213596,0.0345466963752,0.812243060023873,0.428495677748067,0.884999884336398
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.117130478785301,0,0,-0.000139993512650841,0.000435895589917039,0.639722580413261,0.909397858179862,0.227349464544966,0,0.25,0.466066402317179,0.00424504406940918,0.5125,0.443331455862683,0.673517439254384
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.136839621950769,0.00511002316603059,0.00198829067037155,-9.81319721524498e-06,0.000791159033271954,-3.84520416830349,1.86086893851199,0.966574383820129,0.0181772977123388,0.519420988666205,1.36882486466099,0.0238089679683606,0.735583703039048,0.492044073850998,0.833235569397852
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.133966938333061,0.0108884223604554,0.00347570184571676,-0.000155335044323265,0.00131853494334269,-4.40081293033802,2.35560495249646,1.02566764966488,0.0285009615321778,0.435415814768889,1.72604961909237,0.0266964996844195,0.732741547882681,0.629555333404096,0.835151721092604
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.114718546085527,0.010777492207248,0.00412654375575147,-7.20383803292309e-05,0.00138600693163481,-4.3821123336322,2.27064706504134,1.08058251544379,0.017786923144847,0.475891886537691,1.64943665179238,0.0265890157640619,0.726417010017518,0.621210413248956,0.827453029510538
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.0908153743192768,0.00530078608337302,0.000288593456483055,-0.000466645799291715,3.32482252667046e-19,0.736638521637999,1.27342583338599,0.222188638225217,0.0320417157521412,0.174481019938495,0.652697640506426,0.0262826418853214,0.512552536154325,0.620728192879567,0.385633777908028
