"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.74667482897645,0.6843847097429,0.727582044945112,0.671228392165758,0.794125723351674,0.759347960884479,0.756226037672945,0.773950927076037,0.908281751610399,0.832266516092603,0.803051078383374,0.789565334751,0.75111632861584,0.766037241017572
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.731090186503981,0.673100496736154,0.700745564446466,0.668701234210489,0.72995262453753,0.818069243392542,0.644054684082771,0.735081620988496,0.798219177996897,0.690991577645,0.784261508338552,0.767116634545395,0.745474338626741,0.770177181268801
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.789139128991717,0.610499873655041,0.707903471161213,0.673277573604222,0.8316344453253,0.829032811068882,0.772779922488616,0.817157753838069,0.89786971181342,0.82378172788857,0.879105342180421,0.789485384607595,0.74759421133929,0.779404841177346
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.706503144383416,0.737523971653821,0.811994238045789,0.470019031960179,0.743597235375904,0.825963815925482,0.57677317225578,0.680978044434768,1.22488258368372,1.07115296801849,1.11184983785774,0.820644626226716,0.74778932199981,0.762360925320053
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.687404374595914,0.636339825705986,0.80849767859887,0.599860307087639,0.700296509581082,0.655132484638567,0.614360268777596,0.696833225970709,0.810190071672565,0.72611934112402,0.776265291556349,0.73804049302924,0.748353142789757,0.69799374380965
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.69570795971689,0.621458992224336,0.677627195333976,0.605064366146107,0.709681439989235,0.690283782841773,0.584369503123781,0.707945598275441,0.820825073801373,0.782396120499335,0.786058458168092,0.721611323274237,0.725295454714439,0.703635492848359
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.738159918629286,0.694864885069542,0.785789758541348,0.693874773928509,0.782965613226998,0.755028354740898,0.724685398849761,0.79013576856487,0.88498722307689,0.814065534942435,0.842431948243552,0.764827326025116,0.744726496960244,0.755326890329727
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.803669753822819,0.696800342642564,0.725221689808832,0.711448484257725,0.801858608752663,0.795390485731085,0.721076271078344,0.781324431918197,0.908706242650574,0.847044699392716,0.870608675461826,0.795630661439373,0.766414948603757,0.807747842002331
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.643627353082584,0.544255510440307,0.627835616438356,0.563071295027202,0.656881243622348,0.590344464666982,0.48725830547823,0.637590757960575,0.678729342308759,0.593389226145297,0.700885200404755,0.673082452016982,0.664890041454588,0.59074272420183
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.735189207538391,0.709640276533829,0.69872307829605,0.666217092047778,0.788297383341667,0.794492681599653,0.821826062046429,0.790085839525749,0.893158368096983,0.812729686767241,0.871665349330741,0.795043713795651,0.775507667211877,0.812243060023873
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.769626780255045,0.689862620364864,0.737370985712012,0.700638109402682,0.826962292833043,0.828105336553179,0.780037174945535,0.821292111625421,0.887949627042325,0.498500004601213,0.505263157894737,0.577235772357724,0.465909090909091,0.5125
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.771234377730829,0.715857671483076,0.748239264214282,0.786874010461522,0.805469113001784,0.827010155270369,0.782711476693601,0.805632486475744,0.907599641493339,0.849925310149148,0.848979962423741,0.767873332882926,0.730234266044031,0.735583703039048
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.724571893638076,0.69789169101744,0.853558344406936,0.710503065786991,0.737885541500489,0.736097881043446,0.741463117882772,0.742176376368784,0.870269207024688,0.826972161004888,0.809951232848862,0.773913403920664,0.751165201085911,0.732741547882681
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.713136459821347,0.632607126961865,0.723204318244384,0.669106599084867,0.745884281943931,0.672025989279069,0.666206677577738,0.723179530542982,0.859474997732112,0.774201501244916,0.807127957781562,0.766656202973196,0.745670298241175,0.726417010017518
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.683443476815953,0.575123547189575,0.41145004908997,0.4825509319004,0.628416909331076,0.656446709236979,0.587370143624216,0.643982235715452,0.518487698822761,0.442874252201253,0.576670196632151,0.513876238411964,0.606379914294351,0.512552536154325
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.781773364567673,0.676710588869731,0.789741773958815,0.769114124456415,0.796745186925516,0.835927170323223,0.812174538222231,0.778619838686627,0.928308034494869,0.848278714205151,0.833955492894564,0.807763722223052,0.746834123802922,0.790121248114144
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.7321584858961,0.669932931642905,0.807681859818693,0.665431092472238,0.729325684255865,0.720620380972208,0.679438291945511,0.69505243478269,0.845074759948665,0.72797052257506,0.786848346076788,0.770226724787475,0.754607213546177,0.738691897961708
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.73828866157789,0.64478861262359,0.725864093296903,0.643731212799847,0.743105125571335,0.707458261802459,0.647766585965284,0.709864855918819,0.736035366326994,0.711427696367785,0.717970598119387,0.66910569567415,0.696520386361175,0.658269848937616
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.693896253173098,0.628012293687457,0.65651885600831,0.620814337700043,0.748356782764412,0.628261195291228,0.63867313506699,0.667293212614781,0.765117281011198,0.698975499310349,0.763527433157773,0.705411765750399,0.715010970333958,0.691010968298428
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.791153149708142,0.677076081940414,0.771010957948125,0.674948365933665,0.82438118183844,0.756320058875543,0.676752045368573,0.777252016129032,0.840488407174467,0.871981819272371,0.83992414289596,0.73814851990193,0.743545911312311,0.780702557856273
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,0.844690749261364,0.539208793046439,0.837698500854138,0.532137418529573,0.333333333333333,NA,0.125,0.107142857142857,NA,NA,NA,0.873572319161956,0.857635936860693,0.832965433363819
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,0.739531429760684,0.659007379391455,0.811644958170863,0.698727932987461,0.762559939822933,0.770633207832128,0.837127463227362,0.739020621637611,0.856445622907998,0.808237353949801,0.812741594697089,0.754003237088308,0.743826239880141,0.684584948623729
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,0.735210669336879,0.612195404642391,0.741488044905921,0.645523031819394,0.778273292190336,0.79516149255987,0.732964768302574,0.735512508861287,0.895685220792986,0.795451700642453,0.835449642956034,0.753363623965439,0.707356087558232,0.764662990213159
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,0.73875333101676,0.596782618489204,0.769926302819357,0.67927893189498,0.75048569973268,0.747879605212622,0.789589700169405,0.785479549443636,0.949297661398864,0.843005472116305,0.851886374437881,0.787275054700209,0.758268098515449,0.797745754244514
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,0.73362518952936,0.692262265110014,0.734243852720667,0.639185350705698,0.776759131840969,0.679939686815747,0.643941044523596,0.650591080929172,0.94892996853915,0.837859410047958,0.855045390895662,0.699505784491085,0.71723557328084,0.688243209515086
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,0.749883564651559,0.6669984454113,0.795996566092255,0.654653343395617,0.716429545487974,0.76868606745658,0.790314738073802,0.742876999245676,0.822971408212345,0.807712766580667,0.800324412593173,0.774612598291931,0.753276034322721,0.749904050254169
"214","B-1003:3:1","B-2-27",5,"IP 5695",2,0.707222146939249,0.654407378069588,0.867779436371012,0.682055809688449,0.748156171761692,0.722978635454872,0.718132266069878,0.69105050080204,0.941830455189021,0.760507235361639,0.830599418427193,0.758974483939439,0.768105191213901,0.770901078862165
"213","B-1003:4:1","B-2-28",33,"IP 3389",2,0.751090864161896,0.671208561553779,0.756170048892325,0.618807809966144,0.760413818266012,0.72442869289294,0.601345132844474,0.688812388607895,0.801757435254683,0.712924300911407,0.763873941062812,0.734658083289813,0.717987352013563,0.665558974237303
"212","B-1003:5:1","B-2-29",28,"IP 11346",2,0.73178457348766,0.691557841353388,0.778754176205091,0.687010335131013,0.774254976982003,0.789694689720636,0.784928793180749,0.761141555708927,0.884226682213676,0.845073066081413,0.850401750349328,0.767574232204847,0.760392106362295,0.781302663536906
"211","B-1003:6:1","B-2-30",14,"IP 18157",2,0.725902193733027,0.56959999459286,0.633163006926221,0.617525034116915,0.721606622792998,0.686344399653256,0.680300035919599,0.685604287650016,0.854853630603223,0.717719785807859,0.786621897816809,0.721517494509634,0.751125139800944,0.738691951759699
"210","B-1003:7:1","B-2-31",24,"IP 17150",2,0.745619102653753,0.609444159498145,0.876757964549188,0.746736301497017,0.799982254047946,0.840840322354523,0.855077473632909,0.75780000555569,0.95379162176787,0.828794735028282,0.893224293175809,0.80195604819464,0.755322850955915,0.80689486466364
"209","B-1003:8:1","B-2-32",39,"IP 2058",2,0.678938095534921,0.618372169894978,0.744302819971209,0.59595741798111,0.673532586267527,0.688782454505309,0.60395985621689,0.684236663980208,0.781914394981913,0.717643015105003,0.742733049027523,0.71477107835059,0.69860834896907,0.720518825083276
"208","B-1003:9:1","B-2-33",11,"IP 8174",2,0.792358647597938,0.677524857063623,0.784636409758137,0.727354073592065,0.79953598158907,0.769473697551889,0.754669939848311,0.809154262394735,0.89491225418286,0.826523892415197,0.836555166457076,0.765405289047377,0.737518379200992,0.772958242493475
"195","B-1004:10:1","B-2-46",10,"IP 4952",4,0.791015181300056,0.641184611327538,0.69531424245723,0.653149214661364,0.767822649598416,0.74148983298435,0.739521352582525,0.797331168951778,0.704897214292336,0.727635273118643,0.725067477115891,0.671467765295724,0.706234237279487,0.67702019347045
"194","B-1004:11:1","B-2-47",20,"GICKV 93191 (=ICMV 93191)",4,0.649684582189997,0.591548264948879,0.724747152281553,0.568311422545352,0.655281579897607,0.601077958017198,0.565197101945916,0.636492602151616,0.656193375963751,0.645771864254928,0.675021411931949,0.695106458143994,0.707795113983949,0.674929508001218
"193","B-1004:12:1","B-2-48",29,"IP 18412",4,0.693637026725355,0.614466213576644,0.773051218179754,0.575999568229617,0.741991565130908,0.640951040281966,0.641488333997657,0.726611758982941,0.859490525239456,0.759964917530574,0.829884192484033,0.793754937241466,0.751794735446696,0.745880551627052
"204","B-1004:1:1","B-2-37",35,"IP 18389",2,0.736899080329412,0.719674890561602,0.854984104390482,0.702223020964123,0.775865868430523,0.755522370420884,0.645864383594704,0.761350593240906,0.888970522132798,0.797642075343171,0.877244965878389,0.821340300042327,0.756976999968598,0.815356076491882
"203","B-1004:2:1","B-2-38",2,"IP 11275",2,0.747153288694272,0.604341066277325,0.786773112777739,0.632638485341748,0.738026884183177,0.679420797171964,0.662130693104076,0.716159725760216,0.732331993948301,0.711482536022484,0.732979384973428,0.683135583793364,0.687093817484058,0.621793763466541
"202","B-1004:3:1","B-2-39",20,"GICKV 93191 (=ICMV 93191)",2,0.756506026300526,0.682706239278594,0.856484808120538,0.779163993630252,0.769609502746947,0.848055104111454,0.894278121814288,0.741271902468211,0.933132987471558,0.858384676503645,0.891721641006788,0.778058693570162,0.753875951097938,0.783869407531553
"200","B-1004:5:1","B-2-41",23,"IP 13459",4,0.722475098233359,0.618923330701934,0.694645448917697,0.674222080676332,0.742863975091625,0.727522427116222,0.717808829838312,0.709829514928893,0.790528056072428,0.703220394276926,0.769099920853963,0.717509957932258,0.721103384458091,0.694756217227243
"199","B-1004:6:1","B-2-42",26,"ICMB 90111-P6",4,0.763313572736584,0.659697619027293,0.687645433639127,0.576247377501176,0.71826245846266,0.777665042164967,0.72722974525908,0.71206361874514,0.713521959779031,0.681594655492746,0.677052410971393,0.724729390738357,0.661193019881753,0.622690519746898
"198","B-1004:7:1","B-2-43",36,"IP 15872",4,0.749713872371937,0.636226167029433,0.8391192202131,0.636205877960251,0.726818882568218,0.719857459609518,0.707764092801797,0.720924338752216,0.802425276649478,0.757829441098514,0.8088292495354,0.744829287692144,0.748496029234126,0.743135023198933
"197","B-1004:8:1","B-2-44",37,"IP 11218",4,0.709501337681938,0.597957547390836,0.892208203593621,0.643843290524762,0.73046165508919,0.692544667215704,0.624755418812874,0.702171571567698,0.891903293022821,0.878252777773367,0.922020671301351,0.763697458523165,0.69023835609768,0.761122859742149
"196","B-1004:9:1","B-2-45",3,"IP 3106",4,0.79973999259655,0.611470004493046,0.802687078437857,0.583605564917937,0.767820178176565,0.645290767502228,0.634667983361762,0.695153190499943,0.894989575538725,0.813306617317243,0.888572657700494,0.716478818169455,0.716401461436208,0.575971303616155
"183","B-1005:10:1","B-2-58",39,"IP 2058",4,0.706449642381303,0.645518765539287,0.736019837723218,0.595253920192994,0.663631891803759,0.687300363476154,0.596901316532587,0.698072891128282,0.830387339173211,0.751329212644273,0.773576558153296,0.727512486890986,0.739671915741064,0.740141396096027
"182","B-1005:11:1","B-2-59",12,"IP 8955",4,0.799567816754304,0.616306419004683,0.647249700608626,0.678579352874117,0.754766198199702,0.794958051797746,0.726753260978704,0.808310566231222,0.780724759009524,0.791705450811319,0.780895141996808,0.730272281080965,0.732681005178384,0.761211534554272
"181","B-1005:12:1","B-2-60",21,"IP 8426",4,0.72863289581581,0.554351349470751,0.626285468152695,0.737884049809148,0.804659732371184,0.833724209056647,0.733630108269416,0.709471231118178,0.98658833452791,0.784267079635476,0.846438321683738,0.75418654544545,0.722310846233075,0.792984062471301
"191","B-1005:2:1","B-2-50",7,"IP 7108",4,0.711255526111729,0.687682646876289,0.796316086759853,0.638648250221504,0.744625820257285,0.786138940854364,0.713917084508815,0.741835836828899,0.904919686470409,0.772777010537222,0.820391951014093,0.743166221393076,0.726475019535897,0.741341328207977
"190","B-1005:3:1","B-2-51",28,"IP 11346",4,0.827989478922518,0.705569482405853,0.687262201428296,0.718334293377935,0.784094392628827,0.774734070076999,0.676157025460467,0.725071628727411,0.867211657414358,0.751210522046804,0.853330391535042,0.808555608022416,0.777647589701133,0.783958940477648
"189","B-1005:4:1","B-2-52",31,"IP 3110",4,0.746910327473092,0.7110452809036,0.78270105117045,0.692233299811583,0.826657363919151,0.741973362164988,0.631355689820386,0.758891999103839,0.893728018147106,0.781023038110568,0.866828063173889,0.764784996770732,0.740779023839558,0.778896355517554
"188","B-1005:5:1","B-2-53",18,"IP 8210",4,1.19330526534643,0.684623226573783,0.933763565144802,1.86127867143283,12.4382352941177,0.678824782204037,3.06226124254407,0.922409241300194,1.7796982285456,0.818914193490541,2.19878287440775,1.41962038419212,0.992136628169488,0.931495366137903
"187","B-1005:6:1","B-2-54",1,"Tift 383",4,0.812626537525455,0.52756372428396,0.6779338602269,0.597798215237211,0.759416504386838,0.735172982735936,0.573070667712112,0.828948572304808,0.790849773816565,0.661195392342706,0.87789969379366,0.778857263616249,0.73837755297727,0.754690723019017
"186","B-1005:7:1","B-2-55",13,"IP 3122",4,0.733350184199851,0.689068537602822,0.714543482406301,0.627612299016698,0.748099423558868,0.802965672501033,0.805773267159925,0.786378330382446,0.876943957179208,0.793441626862767,0.871352718174742,0.746206769979009,0.724162580530275,0.716811962511019
"185","B-1005:8:1","B-2-56",5,"IP 5695",4,0.756864544922215,0.731468681348122,0.717857783430351,0.71287330475722,0.791949004540692,0.803664986160538,0.815204611515726,0.781413517110613,0.893793358616224,0.868383296836064,0.877181260046869,0.812840009283261,0.771459088894086,0.806598855736606
