"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.820480628508794,0.722310460905374,0.665037435098334,0.75189526654377,0.765566357584211,0.677337187252788,0.645228327382588,0.881559721050718,0.822157899815135,0.842464420546624,0.828387761685098,0.835540165877011,0.898691603944399,0.890467225466295
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.838964339557417,0.736936172996842,0.686606350942898,0.643341473950283,0.842581854731746,0.766217671834066,0.646122083100408,0.8219562252401,0.781385475752252,0.78654728331174,0.774411742849816,0.834534818672918,0.823953068188088,0.794916595518729
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.872770426101761,0.744622365534896,0.678376712931149,0.708338536061676,0.864904418556176,0.801885456569658,0.760777979527491,0.888464898565189,0.751687741258927,0.826595527870361,0.708839545841546,0.840590424856451,0.865949171258131,0.794756669556758
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.720782013882416,0.743657642498568,0.697635116766055,0.267319409650926,0.524115815001574,0.783897652286597,0.34167059478536,0.523584309744315,0.727361610609807,0.745673241048454,0.553702830352679,0.680474983833162,0.57116265725808,0.660731489442653
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.810509843183746,0.751082645254748,0.642369496995118,0.666754743852693,0.805183574395324,0.77343406259268,0.702697361207098,0.802952064239577,0.808666165113517,0.708857924777477,0.675154848670767,0.800066472536934,0.856424253302844,0.797461370539397
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.83851698264103,0.778827320036141,0.675380875775929,0.699714143549813,0.843034357454141,0.798722556749085,0.69549680000829,0.844724497576908,0.768588232835711,0.833162420440207,0.779425140876223,0.811541302073843,0.812878419001569,0.801765991993136
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.863807679035379,0.792734363714983,0.756506797629731,0.756103249565243,0.84211326451182,0.812868847696449,0.733308269492031,0.89560434570088,0.817639273522595,0.776908765792438,0.842189939664482,0.808769446440622,0.8680344455415,0.834809976165255
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.861366550966984,0.738433025824376,0.687875486159612,0.77749544267527,0.837097052991453,0.754704143425738,0.721837756137895,0.87486691849238,0.727834491880893,0.805537466050869,0.827015705546474,0.837686276407029,0.89077280256216,0.895230092261121
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.808007648960409,0.699442667246691,0.580568319487805,0.662112672865826,0.839083093804391,0.731013478270858,0.504856769614944,0.83294826401518,0.907392118048683,0.764659403887252,0.871501911323636,0.853497397767242,0.88388978680535,0.773270581521597
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.855172061722444,0.765967324174151,0.641450117478942,0.629609374078763,0.83526388772323,0.772847532703215,0.733722209295325,0.846690629719056,0.748114576290817,0.787718198204707,0.823333107165728,0.843839842528666,0.899483619768371,0.884999884336398
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.806482424973158,0.755191931903947,0.611115002624313,0.64603746063207,0.766375139554611,0.746101687805479,0.653571728952005,0.845508949211367,0.783798090762369,0.62615364934877,0.664783552618253,0.645928860497125,0.608134236572272,0.673517439254384
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.863540540266882,0.768681076509661,0.739667807432637,0.837845949242073,0.877842545525899,0.823079161331565,0.761313064130316,0.931155973175008,0.817692372745722,0.868460695157958,0.858583294167577,0.869316813618482,0.893922461798941,0.833235569397852
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.885626153566473,0.724270880740498,0.636733469383264,0.794057980251637,0.849487695772067,0.764550273990591,0.79926747330747,0.893621584480381,0.886514166578714,0.880771857948313,0.845003067508561,0.867093770037358,0.903155863302066,0.835151721092604
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.874955767856514,0.719941110192912,0.693590418673798,0.729231522510363,0.884416516781862,0.742083989293146,0.69061715682942,0.877161089422067,0.774041691652866,0.806509985140779,0.765686461262175,0.839714865891644,0.875667571877212,0.827453029510538
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.574629957185955,0.704007111921115,0.16431233513264,0.167550775343863,0.56152039649055,0.624191485894411,0.553350264262134,0.408019221108861,0.313107223189157,0.134661525783793,0.528183491292395,0.355993675299267,0.420496239936694,0.385633777908028
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.896504812675878,0.726533172655821,0.728331950154258,0.799178549855712,0.84606397478139,0.84379456025186,0.741664503365792,0.879357528777742,0.771744973117373,0.836655661288291,0.782895318582365,0.864912659931205,0.880558775906099,0.785354102735966
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.867345389767981,0.715371683897347,0.644918125553324,0.717314235507027,0.81415222973558,0.773626402193529,0.734607434096925,0.830902204649708,0.731540572424088,0.781045239203094,0.755983162683166,0.828718899072761,0.872695128518262,0.805685811853367
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.874614742974365,0.770216597190726,0.670023922656902,0.776238802206177,0.810752838550979,0.831008047304248,0.763609081884349,0.832446846449651,0.633119592818566,0.686962251088374,0.70781954574196,0.742100970684788,0.810512351223256,0.7142827692575
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.860078370379465,0.76851646374199,0.654597991259869,0.681851854041376,0.860612457219643,0.690123020430451,0.711161369156498,0.805167993591503,0.668218030584518,0.718851733286556,0.756145267630479,0.760735302983514,0.810204541418076,0.845854153244511
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.86123418463796,0.700584753062449,0.710486182303952,0.800092429760588,0.853924188657163,0.792924328905239,0.707121349313999,0.894795489893969,0.743350734728203,0.797643808892653,0.717578966701599,0.811914784893516,0.851833410811368,0.834908721136368
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,0.919470224065946,0.506177806570501,0.629263959548935,0.232619555527114,0.0128272472767602,NA,0,0,NA,NA,NA,0.859706675189284,0.874251103585605,0.838760307625875
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,0.868473953799466,0.765683113814944,0.678215806400404,0.778578768145129,0.831425675492173,0.781622875716661,0.780261026534476,0.858579724566492,0.743847850278627,0.829245955338555,0.79697263544181,0.827377591931664,0.883801747733633,0.755522710630141
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,0.888264585192059,0.756648202646509,0.778576812085256,0.72090986293184,0.845436685309876,0.81152932325747,0.745787894675067,0.869284438022139,0.775215288192119,0.820757659877745,0.769546195470409,0.836772144364272,0.887132875927224,0.841306966337169
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,0.888994693986844,0.703992195587159,0.510853108082247,0.721109540550291,0.869083608302797,0.757146467182059,0.763730390503354,0.907948104821841,0.796439980152502,0.842637441130992,0.792204723299588,0.859873585393454,0.891612234061356,0.883562136414055
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,0.864432650223782,0.71532424404335,0.770014032869411,0.68582554943671,0.876636644770198,0.808761266327974,0.729568644847713,0.830803186209134,0.841713378919135,0.859589007024453,0.817110173643054,0.827925343407962,0.830845367700257,0.816248189290873
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,0.848715223518932,0.747238715387763,0.68786549235769,0.697491954713436,0.814481472720767,0.74538448016474,0.749015737850599,0.833740506658785,0.759932772199775,0.820404516631597,0.804481738479127,0.832775220521755,0.897152811007666,0.869986597063131
