"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,-4.54790213438751,-3.94392311503769,-3.33814424373358,-2.31542061236953,-4.53234361781316,-4.59642650500451,-4.10241760112338,-6.08734561834404,-5.3753289001186,-5.7396248788921,-5.43408018833939,-5.68151488057223,-6.09368751160539,-5.03454896290115
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,-4.28045854859611,-4.32444066927152,-4.23944270911129,-1.74060728804809,-5.08794078292274,-4.76112769665156,-2.69092794424032,-5.33375598509366,-4.91907010209495,-4.36202248514302,-4.65138441296632,-5.62460310940173,-4.66558191577314,-3.98087797390758
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,-5.08483086379002,-3.90474618030664,-3.58878382686824,-2.11016579932465,-5.67552468826819,-5.47221121446219,-5.7480406488156,-6.167334643558,-4.64320594623482,-5.3525034675344,-4.66935565452003,-5.93933473191962,-6.12068110223668,-4.01846257560613
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,-2.9039153038375,-4.02379342028785,-3.47593628582953,0.00683709405558244,-1.5443994451864,-4.17388946859678,-2.23538447930652,-1.91985662164828,-5.22435047811326,-4.62312111892027,-4.0465766677871,-2.86098996040768,-1.85514337124709,-2.85561767066532
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,-4.4323353170076,-4.13597360054909,-4.05935350862015,-1.50972470696336,-5.08795334541911,-3.33624960238614,-4.1528462696401,-5.11626233382527,-5.01225444033591,-4.3946613322561,-3.77335473478992,-5.31042983292802,-5.91830535071812,-3.76448745674403
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,-5.04514331061303,-4.78190241967289,-3.90624442114218,-1.63149405928275,-4.90372309460861,-5.0382912298159,-3.56344560266068,-5.80100563691013,-4.95561563395371,-5.96520054086926,-4.93462158437462,-5.46121986646992,-5.53363566739536,-2.98100959556702
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,-5.42406554207163,-5.07638362175509,-5.3918846336788,-3.40367275064389,-5.18806054829672,-5.02320022127046,-4.12159895372233,-6.82910317625136,-5.25546819486137,-5.20029606881084,-5.93821531493217,-5.44124033895708,-5.99828263203938,-4.62038032708707
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,-5.08106676557519,-4.28952095763818,-3.31616445311813,-3.2206698304319,-5.85112226013387,-4.13758218222204,-4.80083879102587,-6.29960561111923,-4.80110363753646,-5.61352605471589,-5.21947140606888,-5.48851635673623,-5.70445529001138,-4.64652193211381
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,-5.26313460002469,-2.74494778584592,-3.98923044599229,-2.99717653510878,-5.43745621422307,-4.80188866794193,-0.870779516259021,-6.06719913418986,-5.30160247932839,-4.96995937567342,-5.86678147496169,-5.64211206864874,-5.81787485664037,-2.84733965951783
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,-4.92843248802154,-5.09263495721146,-4.3534578613523,-2.36546959304943,-5.45047066146211,-4.41521854020631,-6.08177597876801,-5.8948487667251,-4.83430344860797,-5.33786297381898,-5.87683405830845,-5.58652213999508,-5.92129449884344,-4.31371129158382
