"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.00280411318077289,0.000200438860263641,0.000528475488669754,0.00069361247013312,0.00313866525630945,0.00140543508296217,0.000688750189372029,0.00290939511884071,0.00265211350336843,0.00194025558586601,0.0041901371756543,0.00244216866637207,0.00134912991611457,0.00301783386915569
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.00337739656187876,0.000230862026628833,0.00135216693132306,0.000635724595123091,0.00270054203648458,0.000688285943166988,0.000587208935758392,0.00381133795936354,0.00322065038551607,0.00119386388186329,0.00468134488555272,0.00398156922402325,0.00373900337325826,0.00167783547675988
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.0037448468634051,6.10530594658284e-05,0.00164290667683395,0.00124871473068197,0.00379796322592621,0.00208461931636777,0.000381184691625214,0.00336148618879036,0.00302336971252741,0.00112409100774073,0.0048190245386926,0.00376163594052676,0.00331824775937694,0.00428840727961867
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.00424323442382731,0.000293161864590436,0.00127112652702327,-1.19011697959064e-05,0.00145743413669666,0.00192702425494417,-3.31665448548571e-05,0.00148771581117399,0.00371467798534376,0.00380150530633626,0.00616595806447645,0.00340690617441988,0.00234776407024224,0.00273365327175432
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.00229250971750914,0.000199579591699458,0.00171706075122833,0.00103313863822806,0.00354667361182726,0.00100150682869782,0.000631902549868404,0.00296914041918689,0.00306569483046268,0.00189509519317404,0.00212265301175701,0.00402626302222211,0.00415009886735853,0.00235809479714904
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.0023853538560924,0.000244781158583168,0.000726128036097284,0.000816407113359275,0.00413119363806252,0.00204058523227774,0.000667271179969017,0.00336968196023636,0.00422223382189186,0.00225883154481806,0.0029798548775,0.00318467488272025,0.00132315363807083,0.0027958061605764
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.00307025925246798,0.000413680437209849,0.00198720166673566,0.00129442679301375,0.00301021194813391,0.00164863617929513,0.000617455165562102,0.00336336035328745,0.00294723879591386,0.00269618757474572,0.00315633660361919,0.00356059561350628,0.0032996519572192,0.00339868323859042
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.00207871609568873,0.000512050698584395,0.00184561727324385,0.00141070202948186,0.00273613635162604,0.00141058679248672,0.000335290250983603,0.00231297951783473,0.00287009149560833,0.0028419208292506,0.00433519467071421,0.00345440755468023,0.00124689455696364,0.00151444520218741
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.00310274907772321,0,0.00207418781759562,0.000427974683544303,0.00357101937191289,0.000780802769663528,-0.00029366602720218,0.0024359435436711,0.00494581931171007,0.00180645625323541,0.0038172718767179,0.00366256142600829,0.00402929425080199,0.00229338889587155
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.00317113719337784,0.000209991642988467,0.00126591003494706,0.000901169266576155,0.00123755177318175,0.0007018921817186,0.000250453741453847,0.00287132822473172,0.00329427848876813,0.00278827762945199,0.00617003095236566,0.0036694983541772,0.00352346744263075,0.00345339232164305
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.00297235291808638,0.000214148392206855,0.00110324397889974,0.000867738337261393,0.0038875567828973,0.00216058254484314,0.000360311140002197,0.00387023944539788,0.00433563420613431,0,0,0,0,0
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.00405470664796673,0.000491051612883745,0.000958394220356831,0.00132982275929947,0.00331358204453641,0.0015364493608323,0.000499288790492079,0.00265600249564424,0.00143924402781615,0.00277061874597847,0.00322121202593618,0.00257561748386166,0.00201779531375556,0.00198829067037155
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.00303520032644573,0.000484589044970942,0.000838186562411524,0.000651077923771806,0.00287776929070949,0.00085250539358616,0.000695058955178131,0.00357298897777276,0.00373150631803557,0.00271465150383758,0.00348994280866114,0.00202114364183945,0.00143803551591873,0.00347570184571676
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.00358235075571283,0.000353703669063207,0.00217393246040675,0.000956983957016913,0.00396629890100607,0.00207406686053185,0.000251767724936372,0.00404664762718285,0.00288867550422737,0.00127052059866961,0.00340498341953221,0.00358821034643262,0.00295505161880278,0.00412654375575147
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.00168297913004426,0.000215916158515665,-0.0004964350575072,0.00123440865304963,0.00350080264015283,0.00056898519467452,0.000753726388638015,0.00296021348648494,-5.61768437566584e-05,0.00186348305842933,0.00268275694711168,0.0024461068532374,0.00324805178266489,0.000288593456483055
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.00281424211074789,0.000244042270514392,0.00145480885001142,0.00152996125699526,0.00299524355138567,0.000966175618509958,0.00031154652605798,0.00303749999915457,0.00369909700080794,0.00188325506129715,0.00376931590439956,0.00272485829590678,0.00249547102477567,0.00377030397264486
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.00269556136765625,8.96444281524898e-06,0.000901652599603173,0.000722418972332016,0.00221830051526426,0.00132404023329779,0.000562784425984705,0.00357906466294488,0.00286096572357546,0.00373546604524202,0.00358169422661018,0.00412272911539657,0.00381672615038708,0.00425785048135212
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.00384405484156251,0.000218267509616483,0.00178551158579497,0.00040344289141943,0.00364850377777066,0.000940925158280782,0.000678155894528069,0.00358719678402905,0.00119802676113786,0.0028721093824407,0.00144553749812731,0.00153316644715659,0.00231095199562866,0.00153780077879781
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.00323750190356155,0.000395860755995455,0.000494647583504925,0.00109440154718977,0.00382554663704007,0.00103673583304048,0.000363517907622917,0.00303005587743366,0.00139382509083316,0.0027325323209043,0.00387138922373713,0.00200328262216709,0.00124625161671071,0.00277919165621969
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.00320022283785704,0.000233480716734675,0.000800838723780177,0.00117838671175651,0.0037986925270223,0.00129831196447968,0.000684213492252487,0.0019736805565583,0.000745591094268341,0.00133346170778451,0.00232975583052983,0.00103245161540303,0.00341254852638134,0.00302497528196619
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,0.00421208912116609,0.000189480986002725,0.000604020258239359,0.0010420723590733,0.00350303682633189,0,0,0,0,0,0,0.00443460573532063,0.00402077427091801,0.0020512828415754
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,0.00326151357046429,0.000276361109031469,0.000932797954683804,0.00133270311419606,0.00332494240417431,0.00179260029142177,0.000699580026385897,0.0032265085566031,0.0037426218521087,0.00269238787658485,0.00348991544662948,0.00321331496336923,0.00254869634909514,0.0027917895499743
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,0.00333005829163184,0.000204024046736764,0.00154520506865544,0.000664421355015371,0.00303887403928153,0.00207370208104882,0.000583023183964652,0.00238867934838444,0.00190648897973796,0.00215321172936103,0.00357990030281852,0.00229686506725427,0.00201890856772879,0.00260117265501583
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,0.00412580227046722,0.000408079779528671,0.000509798037939685,0.00067615864366657,0.00302366412030267,0.00169649892558177,0.000325668669985712,0.00349400898777791,0.00279442856933118,0.00270444582851392,0.00333711506821754,0.00286519395497848,0.00209859775325399,0.00167223647963071
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,0.00453806076119836,0.000211820073959293,0.001736894783076,0.000678373848311576,0.00307238505073294,0.00105440971370845,0.00078851974590874,0.00245336731639786,0.00343146668605726,0.001819315719837,0.00513467714161551,0.00300381055187443,0.00243073392088693,0.00239664740036577
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,0.00319638010806517,0.000472370988887814,0.00101252404504097,0.000640254229796864,0.00173768005117277,0.00134389444104362,0.000581005397949513,0.00350492001500053,0.00154207119577716,0.00321634212647455,0.00420313567546534,0.00294012477903842,0.00335849044856817,0.00281575633712048
"214","B-1003:3:1","B-2-27",5,"IP 5695",2,0.00212164565540418,0.000231025955393244,0.00274628545368935,0.000519737645811241,0.00255107919574471,0.00158691744840525,0.000346612709717672,0.0027890005568082,0.00194001181002746,0.00338045748482845,0.00468526934304297,0.00231884629863867,0.00369558125663359,0.00462609538014141
