"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,-0.000539580304494496,0.00971404255319149,0.00838117458496087,0.00712316109422492,-0.00291373364427028,0.00295652732875303,0.00706749527654285,-3.31742580443438e-18,0.00809188594821717,0.00106917845669607,0.0115694652723042,0.00463501429807631,-0.00252742647979953,0.00421826199703172
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.00141041249909964,0.00203519922254616,0.00517347939848316,0.0102215315840622,0.00861853186056969,0.00682711907986591,0.0028221304700185,0.00583628396227715,0.00525607912399334,0.0100232320451295,0.00100039783182866,0.0103146961425587,0.00874223899660684,0.00627765536610694
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.000109306876171334,0.00217498426023085,0.011635692881929,0.00770499055613851,-0.000765148133199375,0.00171234784951604,0.00165978180689915,-0.00204002617535477,0.0126110589007328,0.00738444825483775,0.0158255344334371,0.00499017131627991,0.00298967574020405,0.00872637390360669
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.0229189801547044,0.00381900639043496,0.0110866532430401,0.00439043496186354,0.0164719579049887,0.00415617398474541,0.000754236239950526,0.0303092807984977,0.0144912790324287,0.0081590686073937,0.0225125139417114,0.0268755191502879,0.00168863572652568,0.0177052221710783
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,-0.000431385057148335,0.00246655884995508,0.00845467232523314,0.0100998382749326,0.0135886293001725,0.00198208608325648,0.00515633028228945,0.00772574667657597,-0.000945442766812787,-0.000544043948235426,0.000537073834634875,0.0150019641832739,0.00631045991345875,0.0161232165755014
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.00585530576617544,0.00389574912891986,0.0101214784950061,0.00443231597601591,0.00650552177582858,0.00861026733056837,0.00400163734524086,0.00316396255910411,0.00638043559724622,0.00306855303427914,0.0189117117707292,0.0120015429690607,0.00430124737247243,0.00245518387781717
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.00658705762786902,0.00484035409035409,0.00951185935804002,0.012773137973138,0.00541461826907927,0.00813471523152705,0.00316451140192305,0.00444939817288466,-0.0024884960411492,0.0111188784453878,0.00909142050001197,0.00290814196254657,0.00394364053131823,0.0055282959257909
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.00312256074016525,0.00482386875265172,0.010982228622067,0.0072900825441898,0.0120641147087522,0.00723517777390975,0.00290973557774808,-0.000773950616503159,0.00716308812273467,0.00848200626751689,0.00952445081330342,0.00921865778997841,-0.00329513403334126,0.00114577008516508
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.00231756279088938,0,0.00530811284790954,0.00611392405063291,0.00275900332248736,0.00270849909584086,0.00933797132840547,0.0180037781762981,0.00271749325215225,0.00923569490561971,0.0117250751289481,0.0169821313455217,0.00247341127450914,0.0143516156702798
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,-0.00195914483369425,0.00227179866765359,0.00522173568181496,0.010260666173205,0.000870731037197443,0.00262760101445576,0.00523883173004736,0.000679355636642183,0.00585105009500015,0.00404358144089671,0.0172839249471968,0.00228939738740331,-4.14678225554297e-18,0.00296763810955702
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.0158468593127567,0.00821560035056968,0.00399991721078131,0.0056,0.0144374510229491,0.0157954345523817,0.00366561443966768,0.00621776741687057,0.0126422556352976,0,0,0,0,0
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.00502676162268132,0.00524647092038396,0.00575776137775833,0.00665996612083568,0.000670234883024172,0.00434657063937326,0.0015391398476647,0.00180773473750602,0.0121872399239099,0.00528824997156429,0.0164841621881534,-0.00175521547153028,0.000433940080454565,0.00511002316603059
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.00198492110106037,0.00307236490338929,0.00781653029483254,0.0117194957237884,0.000496230275265092,0.00205530514109472,0.00282131327864331,0.003882887919617,0.00517855391875696,0.00557010337502375,0.0173486563636847,0.00249156638206735,-0.000620036798578358,0.0108884223604554
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.0115335542169098,0.00333956208277704,0.00680651626544356,0.00581895727636849,0.00441358492066253,0.00588627823654896,0.00610302355735085,0.00463395112266663,0.00519897144461558,0.0117889665331851,0.0119289775318553,0.00752820395140466,0.00367020317227781,0.010777492207248
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.00919845747896909,0.00364879384088965,0.00790608355824711,0.00428988879384089,0.0103602528957295,0.00250840091256662,0.00239425483832454,0.00951820282297123,0.0164441047920198,0.00773684151371499,0.00586621861284194,-0.00415155996888123,0.00996470965170291,0.00530078608337302
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.0129592982383586,0.003798585572843,0.00956459225101683,0.00816543140028289,0.00251865282931805,0.00443722292141882,0.00283760588096251,0.0057394550785698,0.00101072514891379,0.00529683962170508,0.00231901684506746,0.00254645068605545,0.00710307794156813,0.00557368186854666
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.00570039461631022,-0.000975584415584418,0.00781607120709576,0.00717597402597403,-0.000652193624436457,0.00125645265601759,0.00500765486263023,0.00833853233344116,0.0101909750152334,0.012869219096964,-0.00551691255028037,0.0133037602895684,0.0112423330986941,0.0116018334257239
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.000441768313269904,0.00267093945016023,0.0101296378939449,0.00667093945016023,0.00585343015082617,0.00754429476260042,0.000376753994797589,0.0146932368108899,0.0104787220576188,0.00528251089160266,0.00956200828805658,0.00383062205749053,0.00329606741086578,0.003748890666782
