"","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"2019-12-29",0.058,0,0.027,0.096,0.025,0,0,0,0,0.008,0,0.025,0,0,0
"2019-12-31",0.058,0.054,0,0.016,0.113,0,0,0,0.108,0,0,0,0.003,0.007,0
"2020-01-01",0.058,0.016,0.073,0,0,0.004,0,0.028,0.029,0,0.007,0.053,0,0,0.03
"2020-01-03",0.058,0.015,0.047,0,0.013,0,0.004,0,0,0,0.003,0,0,0,0.016
"2020-01-05",0.058,0.013,0.004,0.187,0.061,0,0,0,0.002,0.003,0,0.043,0.004,0,0
"2020-01-07",0.058,0,0.063,0.042,0.022,0,0,0,0.069,0,0,0.04,0,0,0
"2020-01-09",0.058,0,0.004,0,0.14,0,0,0,0,0,0,0,0.004,0.018,0
"2020-01-12",0.058,0,0,0.064,0,0,0,0,0,0.007,0,0,0,0,0
"2020-01-15",0.058,0.062,0.001,0,0,0,0,0,0,0.023,0,0.001,0.032,0,0
"2020-01-19",0.058,0,0,0.09,0,0,0,0,0,0,0,0.063,0,0.017,0
"2020-01-21",0.058,0.061,0,0.038,0,0,0,0,0,0.016,0,0.048,0.001,0,0
"2020-01-24",0.058,0.036,0.054,0,0,0,0,0.01,0,0.021,0,0,0,0,0
"2020-01-26",0.058,0,0.068,0,0.008,0,0,0,0,0.033,0,0.018,0.007,0,0
"2020-01-28",0.058,0,0.106,0,0,0,0,0.011,0.039,0.078,0,0.051,0.073,0,0
