"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,1.58496204650354,0.919219744370602,1.01292612124573,1.1122814438488,1.53372880768675,1.15496845779987,0.820919437087215,1.89776365276186,1.78406254678002,1.4354795688934,1.89753775483704,1.76451876200992,1.87817230877391,1.71173189049562
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,1.70518663967631,0.89005093887251,0.985857372445214,1.11619620819768,1.5158524493722,1.11028531509177,0.867910609798946,1.82745911060519,1.69284121591926,1.36915052782474,1.97530784373581,1.76110930442885,1.83647379530641,1.60867345026505
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,1.66772279016829,0.930848689576921,1.05043771665534,1.06545816205436,1.70830396237756,1.29922507253628,0.997361636311384,1.99431604807963,1.5914771209019,1.37325521205928,1.70794023765451,1.7924846964407,1.89134524413111,1.63872972531761
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,1.4951080305943,0.804392476033924,1.0270111565782,0.508342990467628,0.917585713670483,1.22922625890977,0.504272161660922,1.63620691033459,2.30513627110867,1.91491585939909,1.83016922482078,1.65845633430122,2.0195092188163,1.54131885109786
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,1.85422576555548,1.17871106890922,1.05142914664676,1.27338819590909,1.91001131593394,1.51701812386423,1.23369343417421,2.24146471202,2.10012499767739,1.78061986797257,1.9733658169358,1.89486882150811,2.13899489156029,1.45523671305585
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,1.65414616380855,1.11463128213563,1.00651400403796,1.28170321264862,1.89597608038596,1.5079361180992,1.2452536822754,2.15740408419322,1.87395027926542,1.4217429762693,1.82018926019236,1.75475854369084,1.86351136981099,1.50812093804059
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,1.69122448092562,1.0014002934298,1.13387980031169,1.24259538142262,1.6275572901207,1.32028610616103,1.12896106799985,2.00241176590033,1.69038260257096,1.42974987688489,1.82512075530656,1.66180319327349,1.82364765654696,1.60534755943503
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,1.45312133496572,0.82993267234814,1.05596187185066,1.11652628624312,1.38678099870124,1.06889274112292,0.92215084083865,1.61188844175642,1.42903145843552,1.27349750316833,1.7702516688235,1.80072800293005,1.66662878434889,1.54915060666458
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,2.70193933213718,1.89355483808382,1.45261019386537,2.18559844454954,2.80906435129238,2.30586869071008,1.46230431113277,3.06612439442441,4.07107237326932,2.53650237446264,3.19455385200376,3.05185970617459,3.43103030642992,2.35151154016874
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,1.49807748080015,0.87918749341122,0.920029882500324,1.01074982400141,1.46323751315134,1.03451947323281,0.905567109933615,1.58679537515458,1.50344682830636,1.33784330298776,1.91791209211946,1.85209964610895,2.06599824485333,1.87925011074005
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,1.36475555619,0.700322604315174,0.646649327772142,0.781142055394629,1.38906183269559,1.1612790104972,0.750832927290329,1.63601494081787,1.49240708513046,0.588503202806278,0.609809191877205,0.421683047329533,0.467367432991512,0.44532280202594
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,1.67377138926017,0.819118129331852,1.00037982306139,1.32199271939873,1.55124810108478,1.21795004444398,0.970792015802246,1.91801994753896,1.69233558613457,1.31496114576945,1.58045338077145,1.55141641601028,1.70188416350811,1.38754032494887
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,1.71939998515684,0.915492903087777,1.05017427899348,1.34707155690319,1.60654619092038,1.31794691225314,1.12356299512734,2.14707138427041,2.17457411357522,1.68714850804287,1.94465743400385,1.87516712121634,2.05721428726649,1.73766395915432
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,1.77634626928452,0.923150876503715,1.02764560708376,1.31988755316233,2.02352871877102,1.34383577589261,1.06152206801903,2.11418620181603,1.67194336353229,1.53357832656935,1.67244462275855,1.79426818872707,1.98136470622804,1.6871188969049
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.900260181212311,0.631959018787351,0.310194999566701,0.507854800220698,0.916869107338223,0.950149035086647,0.652719213095305,0.851758820789205,0.785349234571267,0.466945774006449,1.0046759577932,0.800049551435087,0.870513854540884,0.631303544031094
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,1.53450791764505,0.731962991534724,1.07495220642967,1.17924578236813,1.39212275107413,1.14493078730552,0.933585897670571,1.52135682541665,1.4622177813861,1.27293773853673,1.59967012327395,1.57116131401411,1.59698085546285,1.44346734817011
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,1.62666597229355,0.881150107046288,1.11347687680976,1.19231785119856,1.43286310676813,1.41060973371165,1.05283377832254,1.69539227452167,1.45834065480079,1.43632897722062,1.640067991643,1.8364348408074,1.90975868726397,1.62094953126247
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,1.86149664962931,0.951281704952086,0.906490124062155,1.28412727803074,1.55018056093249,1.4978214484017,1.16494840182216,1.72690112583255,1.31033374242467,1.17436323706428,1.50140980604663,1.31234737792594,1.52941147101698,1.33932230667248
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,1.63592171461626,0.953604569785671,1.00111639943215,1.05829399520445,1.80399482589146,1.03932149008545,1.07670764166319,1.58151836604979,1.54129457017067,1.44628170895817,1.55299242715941,1.50248436578627,1.76956707079906,1.68682178391138
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,1.46553700184573,0.761258037298652,0.878118918307416,1.09948981635113,1.57521996998204,1.19518738873252,0.964638636471762,1.68840879392101,1.38966508359901,1.11816385287964,1.26502589507093,1.29614807966892,1.59949012575539,1.53543341360812
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,1.65737305119012,0.134809812125382,0.515152196781556,0.183576660097679,0.0822906657836977,0.0845732567168239,0.0849517173113127,0.0846786035211171,0.0837686321378315,0.0821852010714982,0.0819358141982496,1.5868031239771,1.63874345507266,1.40296359558843
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,1.64048292322711,0.876372103445818,1.06431745624607,1.26251583634088,1.53177649588314,1.29882683138969,0.997540488590755,1.67058408308132,1.5650640830022,1.25501758936389,1.62896402439448,1.61771636502795,1.72480540272178,1.243676769776
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,1.69483612349204,0.864862695556107,1.00267221048479,0.943001061941125,1.44842555163978,1.15637050595118,0.912947060795236,1.48927717307428,1.24600711156932,1.14294821191337,1.57082342431261,1.33872155371516,1.42606877432091,1.36039991869223
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,1.82958449564823,0.887923596763554,0.769441321474845,1.16202657791889,1.63049871443568,1.29239224895984,1.0925286597805,2.00572672488838,1.73839614558452,1.58460959585777,1.81723716515278,1.79831423732133,2.00364436149116,1.74874203148571
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,2.00613475590356,0.947265344029672,1.31141926743671,1.12838918311501,1.68451106608277,1.31958943741169,1.134114479018,1.67219563265419,1.95014131553092,1.52455116298038,2.06836003223461,1.83017345919217,1.75550081588595,1.88354267139642
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,1.56246445402648,0.903962133440843,0.898386708210285,1.08672458635721,1.31393309352616,1.17414454636966,1.04480813070772,1.64005865888572,1.47263651415122,1.3313146027868,1.72186692288542,1.65742623834196,1.84502661062336,1.55492853600332
"214","B-1003:3:1","B-2-27",5,"IP 5695",2,1.81589067688587,0.999083054620845,1.38643549821683,1.12089536701595,1.52361461514129,1.2902283163064,1.12757666636909,1.72987773783766,1.67878765102694,1.55886936780574,1.92002146234262,1.95949184728304,2.14030928913194,1.92982641420045
"213","B-1003:4:1","B-2-28",33,"IP 3389",2,1.91903392048708,1.06603116000958,1.1375483496972,1.16902363384185,1.72887687541744,1.47022709227118,1.13697803055448,1.8826751694962,1.8036226691031,1.6048336584876,1.91424383176324,1.83987885526955,1.81084858148285,1.5467491251844
"212","B-1003:5:1","B-2-29",28,"IP 11346",2,1.53059495304679,0.92668433524894,1.00948122109182,1.23160685157356,1.55404697677889,1.29372465032946,1.02135691308328,1.71870556172493,1.51089959875116,1.56577649391642,1.90516188237382,1.78033939300265,2.02408884352459,1.7252870663932
"211","B-1003:6:1","B-2-30",14,"IP 18157",2,1.56796815509671,1.18060353562024,0.995707985303442,1.13381946096668,1.56299435863609,1.4061990128047,1.22749110102297,1.57284854978998,1.83511891907526,1.47269130248249,1.90164418233992,1.74707125761345,2.02337876559393,1.83847101105241
"210","B-1003:7:1","B-2-31",24,"IP 17150",2,1.61655563960911,0.83869675791977,1.16726480406354,1.16740106692761,1.52735682594706,1.1768119001281,1.0057384472958,1.68058080667234,1.58830428207114,1.42331636070612,1.70438791233307,1.75435375219873,1.80293835727977,1.6578413721899
"209","B-1003:8:1","B-2-32",39,"IP 2058",2,2.00716804397635,1.19995465198586,1.20389774603443,1.51746116203535,1.93967800871368,1.64509348105827,1.29249606643807,2.31952066047385,2.22953134847183,1.916500175703,1.88465664498307,1.93176060895725,1.93647299805177,1.79672967370666
"208","B-1003:9:1","B-2-33",11,"IP 8174",2,1.57295591525707,0.790744405358267,0.931691631895892,1.07712754695158,1.34072029759482,1.13958488631964,0.907102378188869,1.68928791773829,1.42216139591566,1.25110253544335,1.61746612276547,1.42187254801656,1.53174566154404,1.37995044570061
"195","B-1004:10:1","B-2-46",10,"IP 4952",4,1.516277174434,0.846256485968298,0.85587612420849,1.13955672411703,1.54495959294256,1.35707439059172,1.02299896842364,1.81812686900428,1.30758895596477,1.25647709523844,1.44917217705365,1.32087306746398,1.52221498459161,1.39343772636167
"194","B-1004:11:1","B-2-47",20,"GICKV 93191 (=ICMV 93191)",4,2.02427264815921,1.35787265588831,1.10308015440548,1.57990759865804,1.91254578579765,1.76773968470491,1.45122421891192,2.11608845625983,1.99352432230789,1.7352382744146,1.8197300433812,2.11607418155854,2.20724519631084,1.88568687489919
"193","B-1004:12:1","B-2-48",29,"IP 18412",4,1.89325458523512,1.16118660192533,1.23648803981333,1.21788206963389,2.14337542791583,1.4913999781354,1.36257920920989,2.48898477432177,2.12661405566255,1.97178516972267,1.8959357349495,2.41311019214363,2.36545670644786,2.01751317133909
"204","B-1004:1:1","B-2-37",35,"IP 18389",2,1.68411998093423,0.954600840778975,0.99764832028778,1.1906545064317,1.72175646763432,1.10503908412421,0.980421169217158,1.95122256765649,2.35021511064907,1.43965405702758,1.85783166784935,1.91233538209405,1.97112284829106,1.75984437789154
"203","B-1004:2:1","B-2-38",2,"IP 11275",2,1.40095871897063,0.67632607244047,1.00123661424129,1.01972721366799,1.35218847655011,1.15507384449275,0.971163448075927,1.44543091677124,1.34123717437515,1.0569861137083,1.40491496847729,1.26297170645033,1.34679820839379,1.12663772441373
