"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,-6.08300558419779,-8.43048215478299,-8.15108643813152,-6.45509740683652,-6.85489517109724,-7.6089247396291,-7.56798338915967,-7.35495632201085,-7.28441658612548,-7.54633928970327,-6.90981773649057,-7.39251611977307,-7.07596908359421,-6.34620798621227
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,-5.72886077893095,-7.89710890003031,-7.36699603179443,-6.44600664342524,-5.97718437938817,-6.92566791669936,-5.38765478212963,-6.39274459564359,-6.8282678263593,-6.40347474058056,-6.47867698417396,-6.65539000684748,-6.56930721107401,-6.32164796710776
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,-5.82169184176249,-8.68879992158606,-6.46486048258564,-6.84421326551824,-6.82490290293095,-6.7901460012891,-8.28234991388436,-7.36199247765052,-7.18816273091083,-7.72434836803292,-7.130711543442,-7.44778239393319,-7.10432288698081,-6.20169398950148
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,-4.42074799984726,-6.6631332289877,-6.30582243693666,-0.827926323554885,-5.96584460070731,-6.4482266809137,-4.17063943900991,-5.41177450704199,-6.63632540235626,-6.83782095704376,-5.97258350770687,-6.35815951796482,-6.31665185824488,-5.09369177236271
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,-5.71531611192261,-8.41327802504284,-7.24279939248719,-5.95647231769577,-6.18436352187822,-6.07612612413744,-7.21823111565011,-6.36511279530965,-7.07740428148109,-7.24759670672918,-6.25460191029784,-6.35320445340413,-6.82234307958799,-5.39787650590821
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,-5.77534123519741,-7.48393863913217,-6.76204704018242,-5.85941577064903,-6.09016783345466,-6.14753888147773,-6.36070796825001,-6.45332297317475,-6.91513788244528,-7.31808663664639,-6.63188791713612,-6.71541927532437,-6.87052874683171,-5.43070056882882
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,-6.21293623856905,-8.02656824169597,-7.48495641378921,-7.67778568679875,-6.96809123407816,-6.97322307789917,-6.8167347502477,-7.51881214125756,-7.04022099537869,-7.79087098600136,-6.86653885073386,-7.12143542061018,-7.07566968074334,-6.25257250571684
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,-6.05924003648249,-8.01460119312519,-6.81870201972106,-6.03339285509049,-6.78357227560978,-6.62088145618223,-7.33172710460683,-7.60947472173816,-7.36138574650983,-7.36223569949678,-6.78980732273131,-7.1665003795512,-7.09750879647625,-5.83222307344506
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,-5.72002440531431,-5.02088269378825,-5.90689782692996,-5.75590194914652,-6.06409928834655,-6.04616839501256,-0.832990071545239,-6.41954672716411,-5.77413674844212,-7.11670149749572,-6.82735974851982,-6.40912182743354,-6.39520946610102,-5.02278892820166
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,-5.62825102734428,-8.18521455205543,-8.06212648776439,-6.76174882028637,-7.12506227857422,-7.32890244967563,-8.04602426490734,-7.31127622842677,-6.9975835580822,-7.50413549201536,-6.81824652900752,-7.08262539236998,-6.78390121957269,-5.8514041738466
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,-5.52557451015537,-7.75907951363898,-8.464305913781,-6.36635822710931,-6.08884377111333,-6.41539562663697,-6.63678595514323,-6.56232771350825,-6.2763231328093,-1.29515726883404,-3.66088685466467,-3.18809652036384,2.37585390371182,1.23539060949235
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,-5.8298381968331,-6.39719281903038,-6.26324363561817,-6.74744905466523,-6.64623825864643,-6.84991971409839,-7.39135029460462,-7.07632091293732,-7.24215703414736,-7.52915404214063,-6.62844144611774,-7.34997231925176,-6.88045975278513,-5.45036104861335
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,-5.8137553458168,-7.84236465077504,-7.89589177972866,-6.81682350873384,-6.59284912993281,-7.23038957736269,-6.37510937188878,-6.84383260969782,-6.82302934861245,-7.24221617647485,-6.79961378124571,-7.15161264845589,-7.05804088555649,-6.0869829874535
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,-5.4544302393454,-6.1717287041025,-6.72701796026399,-5.17260925978882,-6.28018956965803,-6.22493496464712,-7.57017589458614,-6.16066545796935,-5.82206366667511,-6.15498460654536,-6.65793037437087,-6.32079473642847,-6.69779371714194,-5.61198047925706
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,-4.12550668264821,-6.25749955049054,3.57383489948022,-0.453935715213979,-3.84597154630732,-4.63419879671633,-2.99298004791891,-3.9355490826563,0.177792456964415,1.78520018925952,-1.49040576917051,-1.20340361839231,-2.78737174311732,1.8807330576289
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,-5.83751064994606,-7.22342836415969,-7.09133962594996,-6.59984824956769,-6.57892783777929,-6.99776302403792,-7.21138828864416,-7.06919449779738,-6.99570348005917,-7.57940274428631,-7.0372437580359,-7.44019374712909,-7.06661882726672,-6.03176947210486
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,-5.88727372828491,-7.70322180715433,-7.12308971801054,-6.68373021923489,-6.25933127733255,-6.2612790481072,-6.87717445581165,-6.47996178008459,-6.35777314452156,-7.01309724710402,-6.07307459311872,-6.86082246360806,-6.8010527026858,-5.6702452861732
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,-5.83213141161945,-8.04419872790818,-6.63024261149273,-5.88409188599985,-5.75675413101261,-5.91467716751846,-6.87001071185122,-6.20860262928259,-6.27810916410827,-6.64391609981527,-6.37155116463587,-6.74418366158132,-6.79658497509125,-5.79372615994782
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,-5.4863587415015,-7.98374057485932,-6.59328463206655,-5.35979847519139,-6.63262277602122,-5.37312936665201,-6.52339500231409,-6.31974196003902,-7.02085207676041,-7.2537466248577,-6.58664471819585,-7.05561095244499,-6.89868165321431,-6.15520386395189
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,-5.93969874103448,-7.19795736488448,-6.78558493200237,-5.46664095413393,-6.6191174571499,-7.01438328247898,-6.20834582628945,-7.14240444775102,-7.4910865991017,-7.44613439236435,-6.58012285377092,-6.66184292324302,-6.82291510372458,-6.46137230517266
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,-6.3757381160873,-0.275815700889946,-5.49106100494253,-4.82171048354796,5.10743251261516,0.806737266297639,1.09750747960208,1.57317533557453,-5.13938095512329,-2.326071280564,4.15991014738862,-6.93827455590092,-6.78330963148765,-6.61356400301666
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,-6.02576360369542,-7.45946504109334,-7.22090820912192,-6.28947880015784,-6.2461830671966,-6.63638210074359,-6.81662944836649,-7.01748433622227,-7.20851894514024,-7.28096081705256,-6.83993625013534,-7.23398404233223,-6.92193733472653,-5.20317316877818
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,-5.78611672581606,-6.13253146762851,-6.10852800266288,-4.87712945459946,-6.78273144806624,-7.10332069306945,-6.37679552785185,-7.29736026525233,-6.7554285826476,-7.33862700413805,-7.23436590360262,-7.282400529036,-6.89208450221883,-6.28527949035582
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,-5.35981641482128,-7.08599621357337,-6.83308118660292,-6.98541422688196,-6.24185116775039,-6.50366354600155,-7.98665758400355,-7.42323497296679,-7.34473507293178,-7.69624470893737,-6.80470492308264,-7.10896526213048,-7.08598853479902,-6.3225745184791
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,-5.60861524829844,-7.08468530063557,-6.70142908656596,-5.86113097127418,-5.99770505689531,-5.69453201565549,-6.16272628582676,-6.07510134886602,-7.3426482028957,-7.85738298441285,-6.98069542079213,-5.60780041927245,-5.5018616001736,-5.14848170427986
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,-5.64229128185423,-7.28849849126237,-6.52038222190764,-5.95209836860838,-5.97680628550718,-6.21822479893997,-6.80457943534235,-7.14909894757651,-7.24053828795831,-7.27791819515248,-6.56187493453682,-7.09269057406997,-6.93998007484755,-5.87627790489927
"214","B-1003:3:1","B-2-27",5,"IP 5695",2,-5.59905350481229,-7.21848610624875,-7.33194486603793,-6.19435638034465,-5.80661087713311,-6.54787010247402,-7.63693224278911,-6.06844714896491,-6.40903128647027,-6.53038346930434,-6.13272743783896,-6.78874016610488,-6.59979868429415,-5.72078907555973
"213","B-1003:4:1","B-2-28",33,"IP 3389",2,-6.01014805108742,-7.77994885437182,-6.71119758276516,-5.37875629620377,-6.19428100086705,-6.43399518481598,-7.12774357108497,-6.19642325840669,-6.17218958363842,-6.71725114958398,-6.52389008137286,-6.59570138031111,-6.05295287758472,-5.13421849238772
"212","B-1003:5:1","B-2-29",28,"IP 11346",2,-5.22776843467084,-6.56566942606854,-6.91476640086679,-5.22817242130973,-6.9065000822483,-7.03366957378653,-7.06801126260497,-6.27519881493123,-7.21131157379334,-7.24475445764573,-6.84611876429521,-6.70422501620086,-6.49240601737868,-5.67138618831345
"211","B-1003:6:1","B-2-30",14,"IP 18157",2,-4.99579137170382,-4.10704532195926,-4.23170805808961,-4.29010870786611,-5.82307674731539,-5.90213699764943,-6.97574953365238,-5.49903144788151,-6.77282453839745,-6.76252101245742,-6.59913767598196,-6.10386446719229,-6.28013593779962,-5.21564470856248
"210","B-1003:7:1","B-2-31",24,"IP 17150",2,-5.59010789228037,-7.56103377868415,-7.49217712344819,-7.32736772708567,-7.15251324883202,-6.95122077825427,-7.93177519443166,-7.52077893885149,-6.89439131187343,-7.64947232879178,-7.16340359122114,-7.61691127815423,-7.26616807891775,-6.21803681380735
"209","B-1003:8:1","B-2-32",39,"IP 2058",2,-6.20705621739309,-7.8759382998413,-6.73312736154605,-6.35048589730382,-6.09457278032998,-5.78737307300043,-7.21133251097261,-6.82312079368727,-7.23717654206244,-7.93501131196623,-6.76919314677893,-6.85852462707361,-6.98257106129775,-5.98350045434694
"208","B-1003:9:1","B-2-33",11,"IP 8174",2,-6.36278723356052,-7.39411527343196,-7.3824084041547,-6.56767102816216,-6.72565522878867,-6.74471060299955,-6.42227369647547,-7.59132202967317,-7.33187025509945,-7.73157145792371,-6.96571435437609,-7.49587851818628,-7.18990477670731,-6.69505837210143
"195","B-1004:10:1","B-2-46",10,"IP 4952",4,-5.31686398980787,-7.09474572174833,-5.66221804566557,-5.77395851016188,-6.05108768187313,-6.53689800923509,-6.37575661527303,-7.29855654465055,-5.72420924347821,-6.3183985593179,-6.07224100142498,-5.86339894387149,-6.12017887505338,-5.72173575403822
"194","B-1004:11:1","B-2-47",20,"GICKV 93191 (=ICMV 93191)",4,-5.93592109728035,-8.05762404351677,-7.01611793331126,-4.69561979128588,-6.40850596832854,-5.92949381618037,-6.01822167893095,-7.06554605041173,-6.79486031796255,-7.11344686789468,-6.72361419310273,-7.20023569583458,-7.20207701190699,-6.06827161570557
"193","B-1004:12:1","B-2-48",29,"IP 18412",4,-5.09339391058657,-6.11864773976368,-5.70675533378103,-3.78123611210261,-6.39949952775406,-5.54726870201523,-8.09269451370209,-6.56775514896915,-6.36533218091242,-7.29848383387209,-6.6725012386276,-6.94092594362497,-6.57325914262586,-5.78854715108267
"204","B-1004:1:1","B-2-37",35,"IP 18389",2,-5.39055501789759,-6.76748295664671,-6.68264843495405,-6.79458673406245,-6.87270033714873,-6.31293342260752,-8.80928269521992,-6.59978691892936,-6.91929210232191,-6.49631120655866,-6.57882119065772,-6.85513356967411,-6.87727378630979,-6.02546262350861
"203","B-1004:2:1","B-2-38",2,"IP 11275",2,-5.57234262481553,-6.31787206372572,-6.65287937495043,-6.37223967590373,-6.03922288412134,-6.31790359742541,-6.66789510697399,-6.65125764651168,-6.57511759429393,-6.27738172297158,-5.72700367374912,-6.3593636684496,-6.53715208431117,-5.21741618091922
"202","B-1004:3:1","B-2-39",20,"GICKV 93191 (=ICMV 93191)",2,-5.36184286692225,-5.79500950252536,-7.55035558332272,-6.09720802412072,-5.61556772920782,-7.2673675000455,-7.18331409427924,-6.74519825521893,-6.81383376742648,-7.62669197589086,-7.13797180504212,-7.18099662800025,-6.9689919872357,-5.68066476033709
"200","B-1004:5:1","B-2-41",23,"IP 13459",4,-6.86102533778459,-6.19090254472656,-6.03498376722069,-6.1679932442279,-7.12914722591459,-7.45679536532859,-5.77271091021711,-6.57527126698573,-6.23148480220406,-7.28528833696705,-6.55036790366506,-6.71396078649045,-6.80928852037418,-5.77219650212699
"199","B-1004:6:1","B-2-42",26,"ICMB 90111-P6",4,-6.72480266349556,-7.38863627469286,-8.96243236621624,-5.86907869858252,-7.65987712853858,-7.86257500880496,-8.99966943317778,-7.2083253874691,-7.76502041391102,-7.22033934009055,-7.54578768879612,-8.08246644515501,-8.50310568674765,-6.34495358500182
"198","B-1004:7:1","B-2-43",36,"IP 15872",4,-6.18443764253763,-7.27057623672788,-7.05128259146639,-6.49615277608858,-6.34119466609655,-6.73001090216881,-7.59021300757414,-7.66282399200781,-6.65821471259176,-7.45511325405251,-7.06530792999774,-7.26403527817903,-7.45184504076067,-6.46600064818671
"197","B-1004:8:1","B-2-44",37,"IP 11218",4,-6.16655418185239,-6.45754949867174,-6.85643414370675,-5.27669474016388,-6.52285932251478,-6.36527235138348,-6.79997114497824,-6.54882283670647,-7.09338023505992,-7.78808449909617,-7.33802498497207,-7.80285541111044,-7.10236471197876,-5.29890020811519
"196","B-1004:9:1","B-2-45",3,"IP 3106",4,-6.02902343451211,-5.21248592817432,-6.9788034876211,-5.02325863584547,-6.6489072652654,-7.43032245595339,-6.06729944270928,-6.69508472774083,-7.68164904806991,-7.96415947555588,-7.16790318608063,-6.91501220390928,-6.40710277589445,-4.57550035163069
"183","B-1005:10:1","B-2-58",39,"IP 2058",4,-5.97745712574195,-7.33135517919902,-6.11397000079475,-6.63604116633464,-5.91457946835887,-6.88477846194846,-8.09316285710517,-7.00393218703786,-7.08516365050787,-7.94329199323325,-7.0421906283986,-6.83429940444404,-6.91844669024479,-5.85264358371864
"182","B-1005:11:1","B-2-59",12,"IP 8955",4,-6.76115786305355,-8.22806953044452,-7.83928545604393,-8.44637604985381,-7.31495351746531,-7.4152840635042,-8.08481029551426,-7.69312737423098,-7.67559394818748,-7.97729841602618,-7.28552950343499,-7.63457305272405,-7.29223428515984,-6.70880795156715
"181","B-1005:12:1","B-2-60",21,"IP 8426",4,-5.57197721220185,-3.72242330870235,-5.0780374982829,-6.60611681419727,-5.6448322029574,-7.27175692363886,-6.80262626768871,-6.53501450864896,-7.24990555678745,-5.43952523654454,-6.30167090980597,-6.8503806765541,-6.58548392958472,-7.0837297798425
"191","B-1005:2:1","B-2-50",7,"IP 7108",4,-5.4313514072655,-7.4905637401741,-6.94255297087882,-5.03889517393509,-6.70129600369437,-6.73716850914694,-7.02528722837211,-6.86680810186622,-7.05915856329855,-6.78556529433833,-6.49087069538543,-6.80490069325017,-6.64432943987928,-5.76985574958784
"190","B-1005:3:1","B-2-51",28,"IP 11346",4,-6.36208190250196,-7.43012878764792,-6.45300978790244,-6.24478606940392,-6.30291443518189,-7.09842863475804,-6.72841702629202,-7.63397683561196,-7.06285001394872,-6.98638654289342,-6.67599609236237,-7.30109856491453,-7.04727684377204,-6.59001628651424
"189","B-1005:4:1","B-2-52",31,"IP 3110",4,-6.44333894678269,-8.3008067491843,-6.6596730101385,-7.24020112293409,-7.37830210667787,-6.91570208786792,-7.04139896107125,-7.5553597834205,-7.73847522810695,-8.02872834378201,-7.39101203909845,-7.31284173856999,-7.18933027094009,-6.34105204320365
"188","B-1005:5:1","B-2-53",18,"IP 8210",4,-2.988431731685,-2.74633322885986,-0.40898000592215,1.72563870466609,-2.91257247015538,-2.23708090897514,-0.383949397641963,-2.4170635358685,-3.52114051924268,0.562461260560848,-3.83809936749818,-3.26865413596652,-4.24754477615115,-3.63322971772019
"187","B-1005:6:1","B-2-54",1,"Tift 383",4,-5.62583849274315,-3.01984180849706,-5.10988881096283,-7.28963215212992,-5.97623872623655,-7.72201475143477,-5.5764627453538,-7.01373950620922,-7.73222167063307,-5.48106918719431,-6.75276671377639,-6.76078511434038,-6.39640518072999,-7.33855435168534
"186","B-1005:7:1","B-2-55",13,"IP 3122",4,-5.84663542061434,-7.44267101705907,-6.60515458559697,-6.92492428598045,-6.44438661095815,-7.00150939814916,-7.65631505977969,-6.28899832522357,-6.61708681964545,-6.8743003722898,-6.98653622689593,-6.32337963454155,-6.30575039937018,-6.08981573371825
"185","B-1005:8:1","B-2-56",5,"IP 5695",4,-5.46876705197496,-7.60221173697695,-7.32321064794572,-7.10640632666254,-6.67034784628682,-7.30144216808454,-7.80289468737361,-7.56426395381681,-7.24516607032982,-7.71543988662704,-6.81980153280068,-7.38728542685464,-6.96841169498277,-6.48189565201279
"184","B-1005:9:1","B-2-57",34,"IP 10543",4,-5.5816095917072,-6.43218735962916,-4.95156744451314,-4.88246572818715,-5.86993075818694,-6.4357243915806,-7.57242014589207,-6.92048479936211,-6.61338306755703,-7.80459268422871,-6.78836185226544,-6.92213175148904,-6.8100596251105,-5.79353589166106
"171","B-1006:10:1","B-2-70",8,"IP 17720",4,-5.57901104593926,5.74421651756781,-6.97259669800991,-6.7073205081803,-6.95341958732925,-6.28875676072101,-6.96422273920832,-5.13723960926415,-5.08895375822217,-3.92506296181444,2.40258344979473,-6.37342343474434,-1.9707915492992,-0.450898001835694
"170","B-1006:11:1","B-2-71",2,"IP 11275",4,-6.25958874441612,-7.35921900646766,-7.10940202204234,-6.84623008945122,-6.94442099768204,-6.89797464776362,-6.82032892447652,-7.18262859184276,-7.14393641901779,-7.6283316953593,-6.7877159927545,-7.37710491831757,-7.22232654813993,-6.26812117875086
"169","B-1006:12:1","B-2-72",6,"IP 7922",4,-5.91141412025927,-7.54255707891351,-5.52846868237457,-5.7078557690266,-6.00542331980313,-5.55182618430485,-5.38373173457397,-5.53075351567641,-6.22947718005792,-7.43592577803892,-6.99150744213991,-6.80562224224907,-6.32468573290877,-3.8178614286892
"180","B-1006:1:1","B-2-61",30,"IP 9532",4,-5.75336068717036,-6.56041532320458,-6.94244808252475,-7.04981769488982,-6.74635632123775,-7.06162784570127,-7.30784868624659,-7.15810105736523,-7.22877711240421,-7.48894634385748,-7.13340231051395,-6.89844498051023,-7.07970101019507,-5.32143397118942
"179","B-1006:2:1","B-2-62",38,"IP 7941",4,-5.86040119307731,-6.70400003997484,-6.50955251746568,-6.54733251047025,-5.83881245775388,-6.00793804230948,-7.13361124289279,-7.09218737333836,-5.88852722854805,-6.06059879724128,-6.86281573628047,-6.87028996917181,-6.73225772307948,-6.29497939489976
"178","B-1006:3:1","B-2-63",4,"IP 8767",4,-5.94156733625184,-7.95644777750477,-7.29666230835095,-6.95262446973161,-6.21973035089992,-6.2872021456825,-8.11137288875186,-7.00248072514082,-6.88787909182421,-7.67918618648027,-6.78319155625353,-6.91338348259768,-6.8407344454431,-5.54955393313888
"177","B-1006:4:1","B-2-64",17,"IP 12395",4,-5.50276466954935,-6.22913020575094,-6.79296589401623,-5.56130179664644,-5.93202640394789,-5.51474758878808,-5.48416197402672,-6.51557895175198,-6.13898313236422,-6.90164268423724,-6.231965241094,-6.40782492337901,-6.59189275443794,-5.9526190696115
