"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384,0.0716473311406384
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401,0.0800904673019401
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801,0.070542263778801
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259,0.110790630387259
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262,0.0861007826321262
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399,0.0781984836722399
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198,0.0700385391573198
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932,0.069089479386932
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524,0.160335269373524
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437,0.07755380122437
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133,0.0676323225693133
