"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.018435847325201,0.00311326885785315,0.00596326185216866,0.00696503901060973,0.01597543280319,0.00854230609074354,0.00547252142423983,0.0194025713474793,0.0178119843740391,0.0121674949259353,0.0219603147987828,0.0172220111372397,0.0183483867865282,0.0166241604339348
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.0224306559836807,0.00432654220879491,0.00791441687894611,0.00737633989195455,0.0182638033440252,0.0104167227876861,0.00534327230131388,0.0223287154078139,0.0185441830370833,0.013697197103899,0.0257952809244715,0.0225929650608073,0.0223768785575776,0.016669721831423
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.0223261517690378,0.00271641216527574,0.0104627651958681,0.00609678916815951,0.0199351407358473,0.0131924167865431,0.0057861981110737,0.0209361958155994,0.0185901652357723,0.0117608023791186,0.020309420282188,0.0181864413610512,0.0192805280222596,0.0175630186023541
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.0319694903170751,0.00460208025650032,0.0128672542065471,0.00600119555672001,0.0107741880988911,0.0160066258979496,0.00440990801280544,0.0246785203973907,0.0412859394765071,0.0251791260914164,0.0414928099425077,0.0255950759087601,0.0245639929659111,0.0229813903660873
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.0210444539643959,0.00301897524474343,0.00827655995500355,0.00562194025086529,0.0209869545078504,0.0124145201861516,0.00526074909051817,0.0246858867202347,0.0210024666529406,0.0178128107090077,0.0269947558137801,0.0240259612409799,0.0240832578137772,0.0150882958164806
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.0196227542698707,0.00519478655057155,0.00781927930009018,0.00613298886109979,0.0204069820088258,0.0146267894988239,0.00637227046304577,0.0232911703416244,0.0198929343635818,0.0111481176426725,0.0218276152038255,0.0187706113256784,0.0187712167046079,0.0159598562831457
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.0196901474348495,0.0046871788880953,0.00901607730970355,0.00722496309239121,0.0172343696641342,0.0125656624896515,0.00832139319132604,0.0190720020218611,0.017412639083068,0.0115274548634044,0.0219508314971025,0.0181147124442103,0.0186804227259393,0.0170601123891685
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.0185808951063855,0.00413503146335452,0.0104488876018998,0.0110074822660836,0.0165153653846437,0.0111509008885318,0.00685179858126841,0.0156813945935455,0.0161558843615728,0.0118803550370225,0.0220275985737543,0.0190849649797448,0.0166914021010954,0.0195917311772169
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.0252092435524052,0.00597310653897365,0.0131671523826254,0.00794801534771817,0.0273883427247906,0.0137608499319042,0.00863409130206078,0.0272580941212271,0.0428288740247589,0.0126000903773912,0.0308643099526174,0.0311730605719199,0.032994698535396,0.0187810481840973
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.0198414177398357,0.0043047575725274,0.00553444563823651,0.00824541786034548,0.0157653222492247,0.0102427118775282,0.00546545882405895,0.0184066297883755,0.0181894344468682,0.0130679011379534,0.0258506317045191,0.021565959211949,0.0244318175435643,0.0249906266617997
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.0219028171752271,0.00274825128022071,0.00302293801280062,0.00567328665699044,0.0193938156727487,0.0127899854606132,0.00524129808092746,0.020798115699447,0.0203790996701297,0.000650348995921045,3.36146626344545e-06,0.00240709649747032,0.00220599073739754,0.00193793834464897
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.0222930984884481,0.00586829650534765,0.010913076540699,0.0118915028148832,0.0183431692401329,0.0134333700554657,0.0055184436679151,0.0189853596125526,0.0165660304208774,0.01006698953705,0.0194583894128716,0.0153682550331123,0.0177004162618409,0.0167388131433416
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.021615965259493,0.00534254296164552,0.0086538762582804,0.00766775417521267,0.0171671409504776,0.00991813827192497,0.00779735098058087,0.0229722787343177,0.024347090581603,0.015210127473977,0.0245378999387593,0.018600106427164,0.0205145759340033,0.0169837168827452
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.023668261692935,0.00466178253173519,0.0100164492101362,0.0126679356260211,0.0231605287093628,0.0136166172223428,0.00522605989047957,0.0269507893360781,0.0254624548992114,0.0181749691681338,0.0231543508165587,0.0242144830817642,0.0225551441285187,0.0191005601473044
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.0143661752769274,0.00262057231069172,0.006817989646996,0.014787886839149,0.0158730581054762,0.013693063965669,0.00399352490855902,0.0131786752362201,0.0147229858530372,0.0180928269502678,0.00676456071740351,0.0109076137084194,0.0141677415038925,0.00569325592718253
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.0208175149756499,0.00364111438428925,0.0107198047287527,0.0112744166788407,0.0167039492213967,0.0113444632748849,0.00578049466574328,0.0161523454728902,0.0168289270818975,0.01123322628204,0.0182038215581683,0.0160381450026071,0.0157625091897633,0.0157414955775382
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.0209895221200646,0.00441057277041075,0.0115676916072912,0.00758280212695649,0.0169029522337363,0.0145622025739781,0.00737146424254328,0.0194804488571656,0.0186604199941057,0.0135001108749204,0.0220744449807782,0.0211707592449472,0.0214276892443688,0.019008879906369
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.0244875946154773,0.00413226750934496,0.00877211748991518,0.00864486470002478,0.020204039069997,0.0154760732963558,0.0069634785821182,0.0210131163862274,0.0153107443081333,0.0103622861997014,0.0155317381176024,0.0109222512888535,0.0148131218811753,0.0112710858211264
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.0189849922065422,0.00415149276094877,0.00837182547493683,0.00765600450714048,0.0193222596129328,0.0080643278460779,0.00657293825338013,0.0157789811468506,0.0137038221364009,0.012819246852962,0.0180865115963516,0.0129019474199318,0.0171430574824928,0.0154143339906381
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.0199314326426626,0.00389247752589652,0.00834875673037431,0.0114859000765005,0.0201346518013161,0.0126377154676226,0.00783745730103307,0.0182126888872362,0.0137448105357228,0.00951000587271268,0.0148071618365945,0.0140762247483014,0.0177005453738212,0.0155294758194291
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,0.0253270742588101,0.00113836653483703,0.00826795031529497,0.00309777425149423,1.23118004141356e-05,1.19544736610606e-07,2.37398212664409e-05,3.71633642363551e-05,1.58337421113033e-08,3.6542872947288e-11,3.27628256907804e-06,0.0200890426827094,0.0207921121445824,0.0178133032245913
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,0.0190264404881132,0.00359551402673435,0.00943777650219791,0.0102876730583146,0.0176023215404539,0.0137230692186062,0.00787922663835404,0.0173796874964381,0.0157957501668584,0.0113913090088773,0.018793339383484,0.0160095606214475,0.0179985923265398,0.0134434837450485
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,0.0226008665780857,0.00331064720050777,0.00889916922982682,0.00694747269526724,0.0159211464102481,0.0112827943827092,0.00689904174972451,0.0131389104764761,0.0131367490112886,0.00954276695399471,0.0151641174963852,0.0122262952731098,0.0131499280125244,0.012304619726065
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,0.0250877023312655,0.00482373058713685,0.00672078623126171,0.00632578086306759,0.018243031309186,0.0129322017077351,0.0058586759678905,0.0203332245424427,0.0191454096469263,0.0135463868054094,0.0220627410863107,0.0183356834093846,0.0206285585985011,0.0184056621688073
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,0.0278552412126738,0.00442211564228208,0.014102035869407,0.00659224849779729,0.0212027533639494,0.0138311663407794,0.00829318974687246,0.019917245323135,0.0230351715646803,0.0137889619550608,0.0263670524346971,0.0231506433027626,0.0228786194631588,0.0236494593637285
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,0.0215080716023299,0.00525589466396023,0.00935004487525055,0.0074437910614647,0.0151110014810014,0.0118972250805753,0.0073037143127073,0.0188307511235432,0.016269023706097,0.0120271733588072,0.0209294932371028,0.0185376952599648,0.0196652341460885,0.0180452007411803
"214","B-1003:3:1","B-2-27",5,"IP 5695",2,0.0232325075977904,0.00506602364457218,0.0156007633972378,0.0079853653537931,0.0180697207297647,0.0120743848854322,0.00754338276137003,0.0207006265529797,0.0194069522167142,0.0149063923123512,0.0269172069998627,0.0219561133546751,0.02561695689883,0.0241294123049315
"213","B-1003:4:1","B-2-28",33,"IP 3389",2,0.0230915143470405,0.00417505771105007,0.0113206544125201,0.00568794960157304,0.0191533366012566,0.0158352997785329,0.00582397844534993,0.021826807410778,0.020972572810795,0.0159172609016027,0.0235847439989539,0.0215445659286832,0.024112447511298,0.0171935991326795
"212","B-1003:5:1","B-2-29",28,"IP 11346",2,0.0222683213108185,0.00386814753372233,0.0108577791143612,0.0102722393550584,0.0161922121128716,0.0140576870050082,0.00739009499379907,0.0237262202760526,0.0164273147991633,0.0159847425911342,0.0234053362537724,0.0211284011574102,0.0243032872001785,0.0205113903738438
"211","B-1003:6:1","B-2-30",14,"IP 18157",2,0.0227512046179618,0.000601485868497024,0.0113489704766308,0.0101578553023827,0.0178300921836758,0.0149016789387945,0.00800206530878946,0.0195269678064444,0.0208397990618462,0.0129624180020986,0.0221044496671661,0.0206169074195719,0.0249033819616024,0.0221933007012702
"210","B-1003:7:1","B-2-31",24,"IP 17150",2,0.0210715985301388,0.00293953867864522,0.012549949711995,0.00888253024955174,0.0166890277542441,0.0126046675418303,0.00728636581207134,0.0168607131995296,0.0188870787282999,0.0115046733425339,0.0197018644979212,0.0162934415125065,0.0167810375484536,0.017087310707303
"209","B-1003:8:1","B-2-32",39,"IP 2058",2,0.0192004028541146,0.00396653989933646,0.0113139586749006,0.00595928839920925,0.0186950488491451,0.0151133044771357,0.00639963165098688,0.0218005878968634,0.0215117024156262,0.01169698565456,0.0193554497242564,0.0191960354051383,0.017698105642717,0.0168585918600691
"208","B-1003:9:1","B-2-33",11,"IP 8174",2,0.0190907849304123,0.00417108976661712,0.00822386418121821,0.00909437314242631,0.0152128393751052,0.0117667908465933,0.00787913118998307,0.0147371623263515,0.0134550912711789,0.00918839110703565,0.0167775869428421,0.0128094630865621,0.0144249652446871,0.0125976110970432
