"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,2.09578335057756,1.371931604765,1.43138215303351,1.6770671829816,1.97905478783228,1.5524604255441,1.15264221177098,2.42736822952746,2.01821911777668,1.74499648538026,2.34357543858016,2.2349250718549,2.4689718779086,2.20763928929624
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,2.34217171918689,1.3506854219171,1.42266536415448,1.67144235147471,2.07836491769135,1.39325509090557,1.36853301631738,2.45052304691036,2.13524767905705,1.97132000364799,2.49134004538934,2.26750953041561,2.40730934017883,2.05864948753779
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,2.1000877205681,1.56724936831012,1.50322962927725,1.57608740414225,2.0653505341238,1.59907688990388,1.35370601683597,2.43374090929209,1.84220412407093,1.66987004381196,1.95222640672132,2.22952961152053,2.4748725167329,2.05463324304145
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,2.09364251987957,1.14108833006455,1.25853970781947,1.03005642655521,1.27753636696108,1.48454239114096,0.866303011643971,2.24758158629455,1.94957616402401,1.81117242771157,1.67146984016084,1.94020938561367,2.60252750756511,1.9342197579562
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,2.6915843476113,1.86377687688632,1.37778986004152,2.11321890662651,2.74275610682982,2.30285004669265,2.00849698038519,3.18443625080018,2.61212022710705,2.41000626485344,2.5445233348364,2.58469892940811,2.84603956699035,2.06617116467267
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,2.39525769344483,1.82343868748182,1.54238357658004,2.10486531055275,2.69523802861967,2.17276913507774,2.10781749753142,3.02293643506839,2.33165903332621,1.84158536130093,2.3290687332838,2.41949217546357,2.56277204812425,2.09650289218542
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,2.26979851227012,1.48781301342772,1.48909142403015,1.78743642686665,2.06984148541881,1.73528016775036,1.5616559421261,2.51198513451261,1.96903774754239,1.76333965597385,2.18227268685073,2.15890052907498,2.40199975230107,2.06307264193434
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,1.79338132530869,1.21785964260018,1.46076950966019,1.51873228437489,1.73427983286811,1.33629201620589,1.27410260497679,2.03889108608668,1.60810754789128,1.50722355785333,2.06699580663742,2.22629271773143,2.13783020978385,1.90698252147048
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,4.19422380225213,3.466220394837,2.33645675613929,3.91376601810856,4.27261983596658,3.82576953424551,2.98097181340203,4.7921740156837,6.01085648051573,4.25481162423279,4.53493045560921,4.52530870039752,5.10800245903535,3.94935552300402
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,2.03948576370177,1.30292905596338,1.35602039029812,1.51088874012818,1.8410727140329,1.31403764558976,1.17779926625577,2.02219216105319,1.74088670264173,1.6211715489985,2.19467133969355,2.2943247725616,2.61771151066297,2.2766269411071
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,1.81778271713922,1.02995854102514,0.929445999303678,1.16445160704914,1.75472818159908,1.47960719885711,1.0456753475446,2.04487144546572,1.74927626691364,1.1790588973691,1.2051348403417,0.755133874390383,0.97991853863523,0.857712618632262
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,2.15167974495091,1.18356619127057,1.37207208205522,1.68006076544877,1.9341568949477,1.50951443615557,1.27958333850362,2.36860075277013,1.95373235882919,1.56573137906946,1.88349108509702,1.98937468698578,2.27084206183145,1.84587534462272
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,2.37902890091804,1.37671638386516,1.26829279248878,1.92205968789098,2.18371088612407,1.77273180275235,1.52483660418516,2.85879265949499,2.52781484827438,2.03447972140721,2.40632243245702,2.40516001025263,2.69607806907263,2.3558308672331
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,2.49394026014601,1.50072272858022,1.45346869978379,1.96321497543356,2.71746522683136,1.93410616995115,1.59439409604412,2.88970441913845,1.98506555775583,1.9604558182943,2.07250360219235,2.32009740894438,2.60466575115019,2.28452585087981
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,1.3897556827897,1.14400422509553,0.792709607778125,1.11876179060358,1.46370717810725,1.48488184428023,1.19036124096845,1.35963142614174,1.54312289905408,1.1692795939346,1.7719725988391,1.48785429096337,1.42574871752943,1.25230689265652
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,1.92723967264574,1.11503745870421,1.4128558348661,1.52746693760077,1.76656985119864,1.38507802695743,1.19694646035252,1.91181532385545,1.6246156220591,1.50163939461778,1.90346908664457,1.92496637456248,2.09821041429762,1.81058063996007
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,2.2281152221553,1.34284684776373,1.44381846310854,1.80220427597124,1.99402455243186,1.95775924759981,1.5536947262568,2.37058278818659,1.7410474246575,1.91878418653976,2.10150081498383,2.36051744741166,2.50108364516024,2.16549767837863
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,2.53295996628407,1.49002564012018,1.31971336735842,1.97540523627234,2.1284342674071,2.14741267715757,1.78230058703592,2.42714948205385,1.79953244682192,1.69234274139532,2.09932831407316,1.94333807936892,2.17783194698065,1.97449636407533
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,2.36391997274257,1.5153312951205,1.57369800124228,1.72185947013697,2.4144383094522,1.6449235997066,1.66015203231966,2.31373709443577,2.01679222348656,2.06066050260331,2.04624429464243,2.13144849861968,2.44431473314767,2.38643726960156
