"","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"2019-12-29",0,0.004,0.038,0.108,0,0,0,0,0.001,0.017,0,0.049,0,0.008,0
"2019-12-31",0,0,0,0.004,0.142,0,0,0,0,0,0,0,0,0.005,0
"2020-01-01",0,0.01,0.071,0.003,0,0,0,0.019,0.079,0,0.014,0.065,0,0,0.025
"2020-01-03",0,0,0,0,0.111,0,0.011,0,0.008,0,0.001,0.002,0,0,0
"2020-01-05",0,0,0,0.168,0.093,0,0,0,0,0.016,0,0,0.017,0,0
"2020-01-07",0,0,0,0.031,0.096,0,0,0,0,0,0,0,0,0,0
"2020-01-09",0,0,0.009,0.041,0.014,0,0,0,0.026,0,0,0,0,0.016,0
"2020-01-12",0,0,0,0.094,0,0,0,0,0.023,0.014,0,0,0,0,0
"2020-01-15",0,0,0.003,0.062,0,0,0,0,0.032,0.037,0,0.027,0.023,0,0
"2020-01-19",0,0,0.06,0.062,0,0,0,0,0,0,0,0.052,0.018,0.02,0
"2020-01-21",0,0,0.017,0,0,0,0,0,0.02,0.018,0,0,0,0,0
"2020-01-24",0,0.006,0.078,0,0,0,0,0.013,0.033,0.016,0,0.055,0.007,0,0
"2020-01-26",0,0,0.027,0,0,0,0,0,0,0.052,0,0.04,0.011,0,0
"2020-01-28",0,0.043,0.083,0,0.044,0,0,0,0.075,0.091,0,0.113,0.073,0,0
