"","TS","Temp","RH","VPD","SR","WS"
"1","2019-12-28 00:00:00","20.41000","82.20000","0.42680503","  0.4470","2.608000"
"2","2019-12-28 00:15:00","20.17000","82.30000","0.41816277","  1.0060","2.852000"
"3","2019-12-28 00:30:00","20.05000","82.50000","0.41038070","  0.8940","2.501000"
"4","2019-12-28 00:45:00","19.82000","82.80000","0.39764094","  0.2240","1.787000"
"5","2019-12-28 01:00:00","19.62000","83.20000","0.38360440","  0.3350","0.861000"
"6","2019-12-28 01:15:00","19.43000","82.10000","0.40392490","  0.3350","1.994000"
"7","2019-12-28 01:30:00","19.37000","82.50000","0.39342786","  0.3350","1.844000"
"8","2019-12-28 01:45:00","19.12000","81.80000","0.40284507","  0.5590","1.679000"
"9","2019-12-28 02:00:00","18.87000","81.70000","0.39878992","  0.0000","1.547000"
"10","2019-12-28 02:15:00","18.67000","82.60000","0.37446733","  0.2240","2.120000"
"11","2019-12-28 02:30:00","18.45000","82.30000","0.37571359","  0.2240","0.701000"
"12","2019-12-28 02:45:00","18.26000","82.80000","0.36077659","  0.0000","0.278000"
"13","2019-12-28 03:00:00","18.17000","82.40000","0.36708714","  0.6710","1.274000"
"14","2019-12-28 03:15:00","18.05000","82.00000","0.37261052","  0.2240","1.044000"
"15","2019-12-28 03:30:00","17.94000","81.00000","0.39060018","  0.2240","0.983000"
"16","2019-12-28 03:45:00","17.80000","81.00000","0.38717357","  0.1120","0.000000"
"17","2019-12-28 04:00:00","17.61000","81.90000","0.36444378","  0.4470","0.384000"
"18","2019-12-28 04:15:00","17.44000","81.80000","0.36254675","  0.4470","0.964000"
"19","2019-12-28 04:30:00","17.53000","82.20000","0.35659899","  0.0000","1.107000"
"20","2019-12-28 04:45:00","17.91000","80.00000","0.41038282","  0.0000","1.713000"
"21","2019-12-28 05:00:00","18.04000","78.86000","0.43733540","  0.0000","1.316000"
"22","2019-12-28 05:15:00","18.08000","77.09000","0.47514532","  0.1120","2.068000"
"23","2019-12-28 05:30:00","18.01000","76.82000","0.47863457","  0.3350","1.970000"
"24","2019-12-28 05:45:00","18.06000","76.26000","0.49174083","  0.4470","1.312000"
"25","2019-12-28 06:00:00","18.09000","76.47000","0.48831063","  0.1120","1.225000"
"26","2019-12-28 06:15:00","18.00000","76.62000","0.48246086","  0.0000","1.338000"
"27","2019-12-28 06:30:00","17.99000","76.87000","0.47700194","  0.4470","0.776000"
"28","2019-12-28 06:45:00","18.01000","76.23000","0.49081724","  0.1120","1.328000"
"29","2019-12-28 07:00:00","17.96000","75.13000","0.51191865","  0.1120","1.945000"
"30","2019-12-28 07:15:00","18.02000","76.29000","0.48988620","  0.1120","1.596000"
"31","2019-12-28 07:30:00","18.01000","75.57000","0.50444532","  0.1120","0.831000"
"32","2019-12-28 07:45:00","17.84000","74.60000","0.51889514","  4.6960","1.014000"
"33","2019-12-28 08:00:00","17.63000","74.64000","0.51126841","  4.8070","1.295000"
"34","2019-12-28 08:15:00","17.67000","74.42000","0.51700589","  4.9190","0.694000"
"35","2019-12-28 08:30:00","17.86000","72.68000","0.55882180"," 11.7400","0.606000"
"36","2019-12-28 08:45:00","17.79000","70.79000","0.59485370"," 18.2200","1.824000"
"37","2019-12-28 09:00:00","17.90000","70.03000","0.61457184"," 44.3900","2.491000"
"38","2019-12-28 09:15:00","18.08000","70.94000","0.60269416"," 58.8100","1.385000"
"39","2019-12-28 09:30:00","18.51000","69.92000","0.64090504"," 91.6000","1.728000"
"40","2019-12-28 09:45:00","19.24000","67.61000","0.72231104"," 83.4000","2.050000"
"41","2019-12-28 10:00:00","19.53000","67.28000","0.74295088","113.9000","1.975000"
"42","2019-12-28 10:15:00","19.99000","66.91000","0.77309509","101.1000","2.767000"
"43","2019-12-28 10:30:00","20.44000","66.70000","0.79994034","154.6000","3.450000"
"44","2019-12-28 10:45:00","21.10000","66.08000","0.84860652","152.5000","1.891000"
"45","2019-12-28 11:00:00","21.65000","64.22000","0.92580562","147.0000","1.754000"
"46","2019-12-28 11:15:00","22.25000","64.51000","0.95251895","190.4000","2.590000"
"47","2019-12-28 11:30:00","22.73000","60.88000","1.08099627","208.6000","2.569000"
"48","2019-12-28 11:45:00","23.62000","59.55000","1.17947892","220.4000","1.833000"
"49","2019-12-28 12:00:00","22.97231","59.52000","1.13511002","224.8000","2.195000"
"50","2019-12-28 12:15:00","24.75000","58.09000","1.30768386","236.8000","2.375000"
"51","2019-12-28 12:30:00","25.25000","55.85000","1.41922029","255.4000","1.919000"
"52","2019-12-28 12:45:00","25.44000","55.51000","1.44638371","254.8000","2.411000"
"53","2019-12-28 13:00:00","25.32000","66.78000","1.07232285"," 61.7472","2.164000"
"54","2019-12-28 13:15:00","22.97231","67.07000","0.92339855","261.9000","1.561000"
"55","2019-12-28 13:30:00","26.33000","57.93000","1.44165591","266.8000","1.671000"
"56","2019-12-28 13:45:00","26.87000","53.06000","1.66047385","261.3000","1.828000"
"57","2019-12-28 14:00:00","27.47000","53.44000","1.70596092","251.2000","0.866000"
"58","2019-12-28 14:15:00","27.42000","53.56000","1.69659702","261.3000","1.728000"
"59","2019-12-28 14:30:00","27.67000","56.54000","1.61108893","236.1000","2.551000"
"60","2019-12-28 14:45:00","27.77000","57.02000","1.60261858","241.5000","1.854000"
"61","2019-12-28 15:00:00","27.05000","55.97000","1.57407370","253.0000","0.936000"
"62","2019-12-28 15:15:00","26.89000","60.87000","1.38582639","107.2000","2.396000"
"63","2019-12-28 15:30:00","26.81000","58.75000","1.45406017","207.7000","3.152000"
